,name,artist,spotify_id,release_date,genres
63,Rumour Has It,Adele,5mFMb5OHI3cN0UjITVztCj,2011-01-24,['soft pop']
64,Let's Go,Calvin Harris,4wkQmYpAaMe41Rc3sYZ7Vz,2012-10-29,['edm']
65,Good Girl,Carrie Underwood,20DfkHC5grnKNJCzZQB6KC,2012-05-01,['country']
66,Pontoon,Little Big Town,0Bmpxve7bWl2iQtVwwbHJP,2025-05-09,['country']
67,Ho Hey,The Lumineers,0DwClY2t9YAWHBROMIgrXb,2012-04-03,"['folk pop', 'indie folk']"
68,Paradise,Coldplay,6nek1Nin9q48AVZcWs9e9D,2011-10-24,[]
69,Blown Away,Carrie Underwood,0vFMQi8ZnOM2y8cuReZTZ2,2012-05-01,['country']
70,Rolling in the Deep,Adele,4OSBTYWVwsQhGLF9NHvIbR,2011-01-24,['soft pop']
71,Climax,Usher,5pyVqlqThcxI7tPDjHIzPh,2012-06-12,['r&b']
72,"Work Hard, Play Hard",Wiz Khalifa,1ms5tNNdPouTtcD2oVF9Oz,2012-12-04,['rap']
73,Let Me Love You (Until You Learn to Love Yourself),Ne-Yo,4kte3OcW800TPvOVgrLLj8,2012-01-01,[]
74,Pound the Alarm,Nicki Minaj,5kcE7pp02ezLZaUbbMv3Iq,2012-01-01,[]
75,Come Over,Kenny Chesney,6BCrbWBpb8d6KWmEqZ41tr,2012-06-19,['country']
76,Heart Attack,Trey Songz,25CA8QVJQrh5R05UUCaODM,2012-08-17,['r&b']
77,Drank in My Cup,Kirko Bangz,4sbKiIjBRVPNz4hejPUqLi,2019-04-19,[]
78,Birthday Cake,Rihanna,4EfN6bixdOOgoLYR5C4cWo,2011-11-19,[]
79,So Good,B.o.B,28GUjBGqZVcAV4PHSYzkj2,2012-04-27,[]
80,50 Ways to Say Goodbye,Train,2NniAhAtkRACaMeYt48xlD,2012-04-17,['soft pop']
81,Red Solo Cup,Toby Keith,4YKAOXyqkKZ5gOZR0AmVMN,2011-10-21,['country']
