rdsg_name,rdsg_artist,rdsg_spotify_id,rdsg_release_date,rdsg_genres,Audio Feature,Length,Tempo,Loudness,Key,Camelot,Explicit,Popularity,Happiness,Danceability,Energy,Acousticness,Instrumentalness,Liveness,Speechiness
Too Good at Goodbyes,Sam Smith,1mXVgsBdtIVeCLJnSnmtdV,2017-11-03,['soft pop'],"Length: 3:21  Tempo: 92 bpm  Loudness: -8 db 
Key: F Major Camelot: 7B Explicit: Yes
Popularity: 85/100

Happiness: 48/100

Danceability: 68/100

Energy: 37/100

Acousticness: 64/100

Instrumentalness: 0/100

Liveness: 17/100

Speechiness: 4/100",3:21,92,-8,F Major,7B,Yes,85,48,68,37,64,0,17,4
Love Galore,SZA,0q75NwOoFiARAVp4EXU4Bs,2017-06-09,['r&b'],"Length: 4:35  Tempo: 135 bpm  Loudness: -6 db 
Key: C Major Camelot: 8B Explicit: Yes
Popularity: 81/100

Happiness: 41/100

Danceability: 80/100

Energy: 59/100

Acousticness: 11/100

Instrumentalness: 0/100

Liveness: 16/100

Speechiness: 7/100",4:35,135,-6,C Major,8B,Yes,81,41,80,59,11,0,16,7
Love Lies,Khalid & Normani,45Egmo7icyopuzJN0oMEdk,2018-02-14,[],"Length: 3:21  Tempo: 144 bpm  Loudness: -6 db 
Key: F#/G♭ Major Camelot: 2B Explicit: Yes
Popularity: 76/100

Happiness: 34/100

Danceability: 71/100

Energy: 65/100

Acousticness: 10/100

Instrumentalness: 0/100

Liveness: 13/100

Speechiness: 4/100",3:21,144,-6,F#/G♭ Major,2B,Yes,76,34,71,65,10,0,13,4
Pray for Me,The Weeknd & Kendrick Lamar,6huNf4dutXRjJyGn7f5BPS,2021-02-05,[],"Length: 3:31  Tempo: 101 bpm  Loudness: -5 db 
Key: D Major Camelot: 10B Explicit: Yes
Popularity: 71/100

Happiness: 19/100

Danceability: 74/100

Energy: 68/100

Acousticness: 8/100

Instrumentalness: 0/100

Liveness: 11/100

Speechiness: 9/100",3:31,101,-5,D Major,10B,Yes,71,19,74,68,8,0,11,9
Happier,Marshmello & Bastille,7BqHUALzNBTanL6OvsqmC1,2018-08-17,['edm'],"Length: 3:34  Tempo: 100 bpm  Loudness: -3 db 
Key: F Major Camelot: 7B Explicit: Yes
Popularity: 86/100

Happiness: 67/100

Danceability: 69/100

Energy: 79/100

Acousticness: 19/100

Instrumentalness: 0/100

Liveness: 17/100

Speechiness: 5/100",3:34,100,-3,F Major,7B,Yes,86,67,69,79,19,0,17,5
Sunflower,Post Malone & Swae Lee,3KkXRkHbMCARz0aVfEt68P,2018-12-14,[],"Length: 2:38  Tempo: 90 bpm  Loudness: -6 db 
Key: D Major Camelot: 10B Explicit: Yes
Popularity: 85/100

Happiness: 91/100

Danceability: 76/100

Energy: 48/100

Acousticness: 56/100

Instrumentalness: 0/100

Liveness: 7/100

Speechiness: 5/100",2:38,90,-6,D Major,10B,Yes,85,91,76,48,56,0,7,5
7 Rings,Ariana Grande,6ocbgoVGwYJhOv1GgI9NsF,2019-02-08,['pop'],"Length: 2:58  Tempo: 140 bpm  Loudness: -11 db 
Key: C♯/D♭ Minor Camelot: 12A Explicit: Yes
Popularity: 86/100

Happiness: 33/100

Danceability: 78/100

Energy: 32/100

Acousticness: 59/100

Instrumentalness: 0/100

Liveness: 9/100

Speechiness: 33/100",2:58,140,-11,C♯/D♭ Minor,12A,Yes,86,33,78,32,59,0,9,33
7 Rings,Ariana Grande,6ocbgoVGwYJhOv1GgI9NsF,2019-02-08,['pop'],"Length: 2:58  Tempo: 140 bpm  Loudness: -11 db 
Key: C♯/D♭ Minor Camelot: 12A Explicit: Yes
Popularity: 86/100

Happiness: 33/100

Danceability: 78/100

Energy: 32/100

Acousticness: 59/100

Instrumentalness: 0/100

Liveness: 9/100

Speechiness: 33/100",2:58,140,-11,C♯/D♭ Minor,12A,Yes,86,33,78,32,59,0,9,33
Señorita,Shawn Mendes & Camila Cabello,6v3KW9xbzN5yKLt9YKDYA2,2019-06-19,[],"Length: 3:10  Tempo: 117 bpm  Loudness: -6 db 
Key: A Minor Camelot: 8A Explicit: Yes
Popularity: 82/100

Happiness: 75/100

Danceability: 76/100

Energy: 54/100

Acousticness: 4/100

Instrumentalness: 0/100

Liveness: 9/100

Speechiness: 3/100",3:10,117,-6,A Minor,8A,Yes,82,75,76,54,4,0,9,3
I Don't Care,Ed Sheeran & Justin Bieber,3HVWdVOQ0ZA45FuZGSfvns,2019-05-10,['soft pop'],"Length: 3:39  Tempo: 102 bpm  Loudness: -5 db 
Key: F#/G♭ Major Camelot: 2B Explicit: Yes
Popularity: 79/100

Happiness: 84/100

Danceability: 80/100

Energy: 68/100

Acousticness: 9/100

Instrumentalness: 0/100

Liveness: 9/100

Speechiness: 4/100",3:39,102,-5,F#/G♭ Major,2B,Yes,79,84,80,68,9,0,9,4
You Need to Calm Down,Taylor Swift,6RRNNciQGZEXnqk8SQ9yv5,2019-08-23,[],"Length: 2:51  Tempo: 85 bpm  Loudness: -6 db 
Key: D Major Camelot: 10B Explicit: Yes
Popularity: 80/100

Happiness: 71/100

Danceability: 77/100

Energy: 67/100

Acousticness: 1/100

Instrumentalness: 0/100

Liveness: 6/100

Speechiness: 6/100",2:51,85,-6,D Major,10B,Yes,80,71,77,67,1,0,6,6
Me!,Taylor Swift,2Rk4JlNc2TPmZe2af99d45,2019-08-23,[],"Length: 3:13  Tempo: 182 bpm  Loudness: -4 db 
Key: C Major Camelot: 8B Explicit: Yes
Popularity: 77/100

Happiness: 73/100

Danceability: 61/100

Energy: 83/100

Acousticness: 3/100

Instrumentalness: 0/100

Liveness: 12/100

Speechiness: 6/100",3:13,182,-4,C Major,8B,Yes,77,73,61,83,3,0,12,6
When the Party's Over,Billie Eilish,43zdsphuZLzwA9k4DJhU0I,2019-03-29,[],"Length: 3:16  Tempo: 83 bpm  Loudness: -14 db 
Key: E Major Camelot: 12B Explicit: Yes
Popularity: 89/100

Happiness: 20/100

Danceability: 37/100

Energy: 11/100

Acousticness: 98/100

Instrumentalness: 0/100

Liveness: 9/100

Speechiness: 10/100",3:16,83,-14,E Major,12B,Yes,89,20,37,11,98,0,9,10
Dance Monkey,Tones and I,2XU0oxnq2qxCpomAAuJY8K,2019-10-17,[],"Length: 3:29  Tempo: 98 bpm  Loudness: -6 db 
Key: F#/G♭ Minor Camelot: 11A Explicit: Yes
Popularity: 78/100

Happiness: 51/100

Danceability: 82/100

Energy: 59/100

Acousticness: 69/100

Instrumentalness: 0/100

Liveness: 15/100

Speechiness: 9/100",3:29,98,-6,F#/G♭ Minor,11A,Yes,78,51,82,59,69,0,15,9
Roxanne,Arizona Zervas,696DnlkuDOXcMAnKlTgXXK,2019-10-10,[],"Length: 2:43  Tempo: 117 bpm  Loudness: -6 db 
Key: F#/G♭ Minor Camelot: 11A Explicit: Yes
Popularity: 77/100

Happiness: 46/100

Danceability: 62/100

Energy: 60/100

Acousticness: 5/100

Instrumentalness: 0/100

Liveness: 46/100

Speechiness: 15/100",2:43,117,-6,F#/G♭ Minor,11A,Yes,77,46,62,60,5,0,46,15
Lose You to Love Me,Selena Gomez,4l0Mvzj72xxOpRrp6h8nHi,2020-01-10,['pop'],"Length: 3:26  Tempo: 103 bpm  Loudness: -9 db 
Key: E Major Camelot: 12B Explicit: Yes
Popularity: 81/100

Happiness: 10/100

Danceability: 49/100

Energy: 34/100

Acousticness: 56/100

Instrumentalness: 0/100

Liveness: 21/100

Speechiness: 4/100",3:26,103,-9,E Major,12B,Yes,81,10,49,34,56,0,21,4
Savage Love (Laxed – Siren Beat),Jawsh 685 & Jason Derulo,4TgxFMOn5yoESW6zCidCXL,2020-10-02,[],"Length: 2:51  Tempo: 150 bpm  Loudness: -9 db 
Key: D#/E♭ Major Camelot: 5B Explicit: Yes
Popularity: 65/100

Happiness: 72/100

Danceability: 80/100

Energy: 48/100

Acousticness: 24/100

Instrumentalness: 0/100

Liveness: 27/100

Speechiness: 7/100",2:51,150,-9,D#/E♭ Major,5B,Yes,65,72,80,48,24,0,27,7
Mood,24kGoldn,4jPy3l0RUwlUI9T5XHBW2m,2021-03-26,[],"Length: 2:20  Tempo: 91 bpm  Loudness: -4 db 
Key: G Minor Camelot: 6A Explicit: Yes
Popularity: 81/100

Happiness: 73/100

Danceability: 70/100

Energy: 72/100

Acousticness: 17/100

Instrumentalness: 0/100

Liveness: 32/100

Speechiness: 4/100",2:20,91,-4,G Minor,6A,Yes,81,73,70,72,17,0,32,4
If the World Was Ending,JP Saxe,2kJwzbxV2ppxnQoYw4GLBZ,2019-10-17,[],"Length: 3:28  Tempo: 76 bpm  Loudness: -10 db 
Key: C♯/D♭ Major Camelot: 3B Explicit: Yes
Popularity: 77/100

Happiness: 60/100

Danceability: 46/100

Energy: 47/100

Acousticness: 87/100

Instrumentalness: 0/100

Liveness: 11/100

Speechiness: 13/100",3:28,76,-10,C♯/D♭ Major,3B,Yes,77,60,46,47,87,0,11,13
Stuck with U,Ariana Grande & Justin Bieber,4HBZA5flZLE435QTztThqH,2020-05-08,['pop'],"Length: 3:48  Tempo: 179 bpm  Loudness: -7 db 
Key: G#/A♭ Major Camelot: 4B Explicit: Yes
Popularity: 82/100

Happiness: 54/100

Danceability: 60/100

Energy: 45/100

Acousticness: 22/100

Instrumentalness: 0/100

Liveness: 38/100

Speechiness: 4/100",3:48,179,-7,G#/A♭ Major,4B,Yes,82,54,60,45,22,0,38,4
