,billboard_year,rank,name,artist,featuring,target
120,2013,21,Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,,1
121,2013,22,Holy Grail,Jay-Z,Justin Timberlake,1
122,2013,23,Scream & Shout,will.i.am,Britney Spears,1
123,2013,24,Clarity,Zedd,Foxes,1
124,2013,25,Sail,Awolnation,,1
125,2013,26,Don't You Worry Child,Swedish House Mafia,John Martin,1
126,2013,27,Diamonds,Rihanna,,1
127,2013,28,I Love It,Icona Pop,Charli XCX,1
128,2013,29,Safe and Sound,Capital Cities,,1
129,2013,30,Treasure,Bruno Mars,,1
130,2013,31,The Way,Ariana Grande,Mac Miller,1
131,2013,32,Started from the Bottom,Drake,,1
132,2013,33,Come & Get It,Selena Gomez,,1
133,2013,34,"Hold On, We're Going Home",Drake,Majid Jordan,1
134,2013,35,Daylight,Maroon 5,,1
135,2013,36,Feel This Moment,Pitbull,Christina Aguilera,1
136,2013,37,Applause,Lady Gaga,,1
137,2013,38,One More Night,Maroon 5,,1
138,2013,39,Love Me,Lil Wayne,Drake,1
139,2013,40,My Songs Know What You Did in the Dark (Light Em Up),Fall Out Boy,,1
140,2013,41,Fuckin' Problems,ASAP Rocky,Drake,1
141,2013,42,Beauty and a Beat,Justin Bieber,Nicki Minaj,1
142,2013,43,Same Love,Macklemore & Ryan Lewis,Mary Lambert,1
143,2013,44,Sweet Nothing,Calvin Harris,Florence Welch,1
144,2013,45,Summertime Sadness,Lana Del Rey,,1
145,2013,46,Home,Phillip Phillips,,1
146,2013,47,It's Time,Imagine Dragons,,1
147,2013,48,Power Trip,J. Cole,Miguel,1
148,2013,49,Girl on Fire,Alicia Keys,Nicki Minaj,1
149,2013,50,Heart Attack,Demi Lovato,,1
150,2013,51,Love Somebody,Maroon 5,,1
151,2013,52,I Will Wait,Mumford & Sons,,1
152,2013,53,Try,Pink,,1
153,2013,54,Wagon Wheel,Darius Rucker,,1
154,2013,55,Gangnam Style,Psy,,1
155,2013,56,I Need Your Love,Calvin Harris,Ellie Goulding,1
156,2013,57,Die Young,Kesha,,1
157,2013,58,Some Nights,Fun,,1
158,2013,59,Bad,Wale,Tiara Thomas,1
159,2013,60,Boys 'Round Here,Blake Shelton,Pistol Annies,1
160,2013,61,"Gone, Gone, Gone",Phillip Phillips,,1
161,2013,62,Demons,Imagine Dragons,,1
162,2013,63,Counting Stars,OneRepublic,,1
163,2013,64,I Cry,Flo Rida,,1
164,2013,65,Little Talks,Of Monsters and Men,,1
165,2013,66,The Other Side,Jason Derulo,,1
166,2013,67,Berzerk,Eminem,,1
167,2013,68,Catch My Breath,Kelly Clarkson,,1
168,2013,69,Crash My Party,Luke Bryan,,1
169,2013,70,Pour It Up,Rihanna,,1
170,2013,71,22,Taylor Swift,,1
171,2013,72,I Want Crazy,Hunter Hayes,,1
172,2013,73,The Fox (What Does the Fox Say?),Ylvis,,1
173,2013,74,Best Song Ever,One Direction,,1
174,2013,75,The A Team,Ed Sheeran,,1
175,2013,76,Carry On,Fun,,1
176,2013,77,Highway Don't Care,Tim McGraw,Taylor Swift,1
177,2013,78,That's My Kind of Night,Luke Bryan,,1
178,2013,79,Swimming Pools (Drank),Kendrick Lamar,,1
179,2013,80,Sure Be Cool If You Did,Blake Shelton,,1
180,2013,81,#Beautiful,Mariah Carey,Miguel,1
181,2013,82,Troublemaker,Olly Murs,Flo Rida,1
182,2013,83,Body Party,Ciara,,1
183,2013,84,Adorn,Miguel,,1
184,2013,85,Hall of Fame,The Script,will.i.am,1
185,2013,86,Let Me Love You (Until You Learn to Love Yourself),Ne-Yo,,1
186,2013,87,U.O.E.N.O.,Rocko,Future,1
187,2013,88,Next to Me,Emeli Sandé,,1
188,2013,89,Mama's Broken Heart,Miranda Lambert,,1
189,2013,90,It Goes Like This,Thomas Rhett,,1
190,2013,91,Bugatti,Ace Hood,Future,1
191,2013,92,Wanted,Hunter Hayes,,1
192,2013,93,Downtown,Lady Antebellum,,1
193,2013,94,Get Your Shine On,Florida Georgia Line,,1
194,2013,95,#thatPower,will.i.am,Justin Bieber,1
195,2013,96,Brave,Sara Bareilles,,1
196,2013,97,Let Her Go,Passenger,,1
197,2013,98,Runnin' Outta Moonlight,Randy Houser,,1
198,2013,99,I'm Different,2 Chainz,,1
199,2013,100,Still Into You,Paramore,,1
200,2014,1,Happy,Pharrell Williams,,1
201,2014,2,Dark Horse,Katy Perry,Juicy J,1
202,2014,3,All of Me,John Legend,,1
203,2014,4,Fancy,Iggy Azalea,Charli XCX,1
204,2014,5,Counting Stars,OneRepublic,,1
205,2014,6,Talk Dirty,Jason Derulo,2 Chainz,1
206,2014,7,Rude,Magic!,,1
207,2014,8,All About That Bass,Meghan Trainor,,1
208,2014,9,Problem,Ariana Grande,Iggy Azalea,1
209,2014,10,Stay with Me,Sam Smith,,1
210,2014,11,Timber,Pitbull,Kesha,1
211,2014,12,Pompeii,Bastille,,1
212,2014,13,Shake It Off,Taylor Swift,,1
213,2014,14,Am I Wrong,Nico & Vinz,,1
214,2014,15,Turn Down for What,DJ Snake & Lil Jon,,1
215,2014,16,The Monster,Eminem,Rihanna,1
216,2014,17,Say Something,A Great Big World & Christina Aguilera,,1
217,2014,18,Team,Lorde,,1
218,2014,19,Let Her Go,Passenger,,1
219,2014,20,Royals,Lorde,,1
220,2014,21,Let It Go,Idina Menzel,,1
221,2014,22,Wake Me Up,Avicii,,1
222,2014,23,Demons,Imagine Dragons,,1
223,2014,24,Story of My Life,One Direction,,1
224,2014,25,Chandelier,Sia,,1
225,2014,26,Black Widow,Iggy Azalea,Rita Ora,1
226,2014,27,Bang Bang,Jessie J & Ariana Grande & Nicki Minaj,,1
227,2014,28,Latch,Disclosure,Sam Smith,1
