spt_id,cv_fold,is_bb,p_audio
2zt7BAfxMaQmuDYebTfqtb,1,0,0.28260868787765503
7KokYm8cMIXCsGVmUvKtqf,4,1,0.6000000238418579
5MEYDJVJMaGAXfddTo0D6J,0,1,0.6530612111091614
6YUTL4dYpB9xZO5qExPf05,0,1,0.5
6V1bu6o1Yo5ZXnsCJU8Ovk,3,1,0.8333333134651184
1YlOZY3puELE0PgxD1enZo,1,0,0.7323943376541138
1Rw3HZkVVR0MjEVIH8hgLo,0,0,0.6530612111091614
41Fflg7qHiVOD6dEPvsCzO,0,1,0.8333333134651184
18s2VXUFA8RmEPFtkgRJJK,2,0,0.0
315lUcWQbGT0IH21ukBWlh,3,0,0.0
2xsAm4w9P3kSF1DophKAiF,3,1,0.43939393758773804
13yWzrXrEtiAvQzo0ZgHYA,1,0,0.11764705926179886
2plbrEY59IikOBgBGLjaoe,2,1,0.4375
0mBKv9DkYfQHjdMcw2jdyI,2,0,0.6571428775787354
5jQI2r1RdgtuT8S3iG8zFC,4,1,0.5277777910232544
35BAwUMAhz3P5FTbQRBmZI,1,0,0.11764705926179886
2LEF1A8DOZ9wRYikWgVlZ8,2,1,0.6499999761581421
515OfuSUlr2igB70C83M13,3,0,0.43939393758773804
2iESiCRjb0axMYi1bZkGbi,0,0,0.6530612111091614
6Ld8WXbMN3g8s5lbmyG0uH,4,0,0.2857142984867096
3lSDIJ2abCrOdDJ6pshUap,1,1,0.7323943376541138
36meE3FrlfHJmc1Yi37JQx,0,0,0.25
5nmHl233yo8XJvaNfdKAWU,2,0,0.4166666567325592
1wjoepBCP3UGg8iOVic3nn,2,0,0.09090909361839294
7nD9nN3jord9wWcfW3Gkcm,0,1,0.8333333134651184
1HFfMOxCAT4GAwaPfCdmUs,3,1,0.625
1DzRqP1kaRcdAbbuA93PFw,2,0,0.2666666805744171
0ivSICeARK2xi8iRvHeVAd,4,0,0.3499999940395355
43zdsphuZLzwA9k4DJhU0I,4,1,0.3499999940395355
5w1vhNA2OEWUQ371QzyMmM,0,1,0.8333333134651184
5O2P9iiztwhomNh8xkR9lJ,2,1,0.6571428775787354
7e44z4wOjkllaD8eulUeMd,3,1,0.8333333134651184
4Ce37cRWvM1vIGGynKcs22,0,0,0.8333333134651184
0M9ydKzuF3oZTfYYPfaGX1,3,1,0.43939393758773804
3EO58D1YpHnTvBy68gK8HE,0,1,0.5254237055778503
6dbSBQXCctYSVryynHXaZ4,3,1,0.7450980544090271
36pLU2ywVeBKEF0rrKtmCB,4,1,0.6904761791229248
2gwkD6igEhQbDQegRCcdoB,1,1,0.5
199ay7SDkskvNFylhPPMYU,4,0,0.5277777910232544
6FZDfxM3a3UCqtzo5pxSLZ,1,1,0.8275862336158752
7kmljzcVVr6Phj1IL27AVc,4,0,0.0714285746216774
2k1PUdpVQbeJYSkQm50zLO,1,0,0.0
4urcG6Nfubqsuqy3juMjBi,2,1,1.0
4q6dqyGM25sKFU8nYAGRe4,2,1,0.7777777910232544
72jFoOulGip53D9qZWMvi2,1,0,0.28260868787765503
4P0osvTXoSYZZC2n8IFH3c,3,1,0.7450980544090271
7lidXGPXPYLNThITAOTlkK,1,1,0.5
3By9IFm4E2BvKQygT04O8g,1,0,0.7323943376541138
4pCaeoKmsr85fn8THb0Jnc,0,0,0.6315789222717285
1fXV02Qh6002zRidAcjFOg,0,0,0.20000000298023224
0VDmMjl5LuQUaMGdSCesnt,2,0,0.5
7vu0JkJh0ldukEYbTVcqd0,3,1,0.7450980544090271
7qiZfU4dY1lWllzX7mPBI3,0,1,0.8333333134651184
4iZ4pt7kvcaH6Yo8UoZ4s2,0,1,0.6530612111091614
4E63weMCaNZuGPEFMnuEi8,0,1,0.6530612111091614
7MGCdXA9hghopcTiSmYFus,2,0,0.0
4kbj5MwxO1bq9wjT5g9HaA,1,1,0.5
2toVe5hfuIi97ytDPDbQFt,4,1,0.8333333134651184
51mwvxRXUktJYBXqq9uXuo,0,0,0.6315789222717285
0fYVliAYKHuPmECRs1pbRf,2,1,0.09090909361839294
2y4lAQpi5VTNLu2ldeTdUH,2,1,0.6571428775787354
2Yl4OmDby9iitgNWZPwxkd,4,1,1.0
2ljBzSWN7BhubXwqbdtE8e,0,0,0.0
2wSTnntOPRi7aQneobFtU4,0,1,0.8333333134651184
5eCkuGPZNl4mISFNPgr3Dd,0,1,0.5254237055778503
3xbxh3LW9v6E3wn1AwUJfe,0,0,0.30434781312942505
0yPWj2trBQazAUasaLmqbU,3,0,0.1428571492433548
0RdeBuehFZDqizsfbFQxUi,1,0,0.28260868787765503
2T23r4De9TGsNRF4u7tU8p,4,0,0.6153846383094788
18XfhVkjMrvih7OywxBeOz,1,0,0.11764705926179886
12N5hUETprhgb2zeWAzUkS,4,0,0.6744186282157898
2uXlHCUbq9OMUwx3hrk06o,3,1,0.43939393758773804
5YEOzOojehCqxGQCcQiyR4,1,1,0.28260868787765503
22mek4IiqubGD9ctzxc69s,3,1,0.5
6hkjKixSrlQurLqgc9RSGx,0,0,0.5254237055778503
5ho8oss55EBoevEvhlrCo2,1,0,0.0
1xzBco0xcoJEDXktl7Jxrr,0,1,0.6315789222717285
6to111eRsvoClVL7d9BRfa,1,0,0.28260868787765503
4C6Uex2ILwJi9sZXRdmqXp,3,1,0.43939393758773804
1diS6nkxMQc3wwC4G1j0bh,4,1,0.6904761791229248
2pIkKOkz4HiXNza1xfSBEo,4,0,0.2857142984867096
3BEG90ffpOk0TO8PTEA4AT,1,0,0.28260868787765503
