spt_id,is_bb,p_lyric,cv_fold
1XxRYmDKuABtbtCozx3pA2,0,0.3178093917601933,1
4QeXQ6EfI0rCsZEoDS7NtF,0,0.15596438258473455,0
2zfbxpGbjwck72JXOdBonZ,0,0.17918573241162986,1
7qzTaf38OEZCANIgYAz1sM,0,0.15955368665553363,0
70eFcWOvlMObDhURTqT4Fv,1,0.6390560610742342,0
1Qrg8KqiBpW07V7PNxwwwL,1,0.5220197251705464,0
16Ah4QqH4mgYVXqfC4mdSd,1,0.7191621677892507,0
2XHzzp1j4IfTNp1FTn7YFg,1,0.6662090385527262,4
2UVbBKQOdFAekPTRsnkzcf,1,0.6720248049052397,3
1qA9TnEJ2sUub9QkN9K3Mv,0,0.8020979433149845,4
1lnPwGXiXnYwUp0Nd6izON,0,0.7142647602611857,4
48ANRZNlUoBElQztu4hv3I,0,0.15301812389528593,0
0fgZUSa7D7aVvv3GfO0A1n,1,0.748529073285278,1
0dt4CRRsWhEsgkgYNWMsh5,0,0.3448099832952661,4
1Iq8oo9XkmmvCQiGOfORiz,1,0.7356105142433994,4
5G9EDMCULzocrXh59ziW2s,0,0.22557287942191837,1
22vgEDb5hykfaTwLuskFGD,1,0.7183186888139944,3
0SKbj3NTkGFS76OkFmAw0u,0,0.9218260536430326,2
0kDUotOdrONmWJGPMyYFh1,0,0.31845238095238093,2
5ujS2PWCJsJaMdM7E5AYS1,0,0.1925133689839572,3
6Up545NUflOiXo8cEraH49,1,0.2946234633894276,0
2xLOMHjkOK8nzxJ4r6yOKR,1,0.8186613008842222,1
20ba46kBOIncnWcrUAPyYI,0,0.08024691358024691,2
4RYA2iXLysm9tB5RgzFVze,0,0.5464716241364664,1
3rosTvZ4MAbOAzNbbEp6Ha,0,0.7171974716148082,4
4pkb8SbRGeHAvdb87v9rpf,1,0.7701851232296196,2
5Es5pG548uc04wSlpBKlUN,0,0.6294578578283285,3
1kPpge9JDLpcj15qgrPbYX,1,0.538277776837431,1
48GBbQiTSlXX5i0cn3iIiJ,0,0.25823412690819847,0
7BHEi0cFs6TVNFDvbBrAjz,0,0.7606872294372294,2
5BdrLgr97sT2gq0oI5fd1c,0,0.1895424836601307,3
39C3SOi6UMD9rHeXAQPNa9,0,0.5826836700296066,0
