spt_id,cv_fold,is_bb,p_lyric
2T0dh7hiBM73mEFwUGSqMQ,0,0,0.7894690948230774
1gihuPhrLraKYrJMAEONyc,0,1,0.12903133044373818
2zt7BAfxMaQmuDYebTfqtb,1,0,0.3344879921308277
7KokYm8cMIXCsGVmUvKtqf,4,1,0.31779495242215333
5MEYDJVJMaGAXfddTo0D6J,0,1,0.7502391144561512
6YUTL4dYpB9xZO5qExPf05,0,1,0.2206490578676654
6V1bu6o1Yo5ZXnsCJU8Ovk,3,1,0.7825320512820513
1YlOZY3puELE0PgxD1enZo,1,0,0.6372102613224307
1Rw3HZkVVR0MjEVIH8hgLo,0,0,0.3141935287209906
41Fflg7qHiVOD6dEPvsCzO,0,1,0.7677933999488635
18s2VXUFA8RmEPFtkgRJJK,2,0,0.17350427350427347
315lUcWQbGT0IH21ukBWlh,3,0,0.43988957902001374
2xsAm4w9P3kSF1DophKAiF,3,1,0.27126556376933764
13yWzrXrEtiAvQzo0ZgHYA,1,0,0.36023678297003164
2plbrEY59IikOBgBGLjaoe,2,1,0.458531746031746
0mBKv9DkYfQHjdMcw2jdyI,2,0,0.9215456674473068
5jQI2r1RdgtuT8S3iG8zFC,4,1,0.6837390246503737
35BAwUMAhz3P5FTbQRBmZI,1,0,0.22599865486622714
2LEF1A8DOZ9wRYikWgVlZ8,2,1,0.7732426303854875
515OfuSUlr2igB70C83M13,3,0,0.32735760971055083
2iESiCRjb0axMYi1bZkGbi,0,0,0.4024877919019188
6Ld8WXbMN3g8s5lbmyG0uH,4,0,0.30217148412015027
3lSDIJ2abCrOdDJ6pshUap,1,1,0.7566641244153652
36meE3FrlfHJmc1Yi37JQx,0,0,0.513893579318817
5nmHl233yo8XJvaNfdKAWU,2,0,0.4129830917874396
1wjoepBCP3UGg8iOVic3nn,2,0,0.20653909641133597
7nD9nN3jord9wWcfW3Gkcm,0,1,0.777495867667641
1HFfMOxCAT4GAwaPfCdmUs,3,1,0.05317811793623537
1DzRqP1kaRcdAbbuA93PFw,2,0,0.08024691358024691
0ivSICeARK2xi8iRvHeVAd,4,0,0.49680522943259353
43zdsphuZLzwA9k4DJhU0I,4,1,0.6128181526094071
5w1vhNA2OEWUQ371QzyMmM,0,1,0.656437711919844
5O2P9iiztwhomNh8xkR9lJ,2,1,0.8187016134167152
7e44z4wOjkllaD8eulUeMd,3,1,0.8394391677973768
4Ce37cRWvM1vIGGynKcs22,0,0,0.7753432858179167
0M9ydKzuF3oZTfYYPfaGX1,3,1,0.7545469766551856
3EO58D1YpHnTvBy68gK8HE,0,1,0.8198436669996491
6dbSBQXCctYSVryynHXaZ4,3,1,0.8062952284034374
36pLU2ywVeBKEF0rrKtmCB,4,1,0.1759962303723522
2gwkD6igEhQbDQegRCcdoB,1,1,0.6542430300185166
199ay7SDkskvNFylhPPMYU,4,0,0.5261143948966405
6FZDfxM3a3UCqtzo5pxSLZ,1,1,0.6319477799032959
7kmljzcVVr6Phj1IL27AVc,4,0,0.16635240725195496
2k1PUdpVQbeJYSkQm50zLO,1,0,0.6152812379607817
4urcG6Nfubqsuqy3juMjBi,2,1,0.859938524590164
4q6dqyGM25sKFU8nYAGRe4,2,1,0.9426400672686727
72jFoOulGip53D9qZWMvi2,1,0,0.7644174083870675
4P0osvTXoSYZZC2n8IFH3c,3,1,0.6811594202898551
7lidXGPXPYLNThITAOTlkK,1,1,0.49763101086263345
3By9IFm4E2BvKQygT04O8g,1,0,0.6058038748882589
4pCaeoKmsr85fn8THb0Jnc,0,0,0.6955329987987467
1fXV02Qh6002zRidAcjFOg,0,0,0.20393254422875107
0VDmMjl5LuQUaMGdSCesnt,2,0,0.5649092970521541
7vu0JkJh0ldukEYbTVcqd0,3,1,0.7825320512820513
7qiZfU4dY1lWllzX7mPBI3,0,1,0.8494784735575726
4iZ4pt7kvcaH6Yo8UoZ4s2,0,1,0.6266289796746743
4E63weMCaNZuGPEFMnuEi8,0,1,0.6717644579254368
7MGCdXA9hghopcTiSmYFus,2,0,0.1287931145551994
4kbj5MwxO1bq9wjT5g9HaA,1,1,0.2459267732581615
2toVe5hfuIi97ytDPDbQFt,4,1,0.796355171800713
51mwvxRXUktJYBXqq9uXuo,0,0,0.6615020883179562
