draft99_name,draft99_artist,draft99_genre,draft99_daneceability,draft99_energy,draft99_key,draft99_loudness,draft99_mode,draft99_speechiness,draft99_acousticness,draft99_instrumentalness,draft99_liveness,draft99_valence,draft99_tempo,draft99_pop,draft99_spotify_id,draft99_release_date,draft99_year,draft99_lyric
Show Me How,Men I Trust,indie-pop,0.791,0.267,5.0,-11.997,1.0,0.0415,0.674,0.534,0.102,0.544,165.99,1,75IQVo8hqI1iwVZyvkN2VT,2018-02-28,2018,"show me how you care
tell me how you were loved before
show me how you smile
tell me why your hands are cold
show me how
im turning around im having visions of you
but then i understand
the friend im dreaming of is far away
but im here im here
show me how youre proud
tell me how you reach the moon
my thoughts err away tonight
my heart fell to love again
show me how
im turning around im having visions of you
but then i understand
the friend im dreaming of is far away
and doesnt feel my love
but i do i do"
how deep?,Tai Verdes,indie-pop,0.802,0.691,6.0,-6.973,0.0,0.0466,0.0989,2.29e-06,0.277,0.452,97.021,1,1nTzXNZCnZ0T7S8BqkL98r,2022-09-16,2022,"it always starts with a hey
turns into how was your day how was your day
turns into meet at my place
turns into you and me drinking rosé
turns into how did you sleep how did you sleep
turns into its been a week a week
turns into gave you a key key
turns into conversations talking bout what are we
i found a thing when i wasnt even looking for a thing
i keep thinking about it in my brain
how im posed to know how deep how deep
how im posed to know how deep id fall
stuck up in my arm iv
didnt mean to take that leap my fault
how im posed to know how deep how deep
how im posed to know how deep id fall
howd you make my heart skip beats skip beats
didnt mean to take that leap my fault
i aint saying i aint into this yeah
im thinking we could slow it down a little bit what
in your place but im feeling like i live in it live in it
butterflies in your stomach got you giggling got you
can you really see us together i think so
are you going to love me forever i dont know
girl if it was up to me id take a time machine
come back and tell you exactly where this goes
how im posed to know how deep how deep
how im posed to know how deep id fall
stuck up in my arm iv iv
didnt mean to take that leap my fault
how im posed to know how deep how deep
how im posed to know how deep id fall
howd you make my heart skip beats skip beats
didnt mean to take that leap my fault
yeah
my fault
yeah its my fault
i found a thing when i wasnt even looking for a thing
i keep thinking about it in my brain yeah
how im posed to know how deep how deep yeah
how im posed to know how deep id fall
stuck up in my arm iv iv
didnt mean to take that leap my fault
how im posed to know how deep
how im posed to know how deep id fall
howd you make my heart skip beats skip beats
didnt mean to take that leap my fault
its my fault babe
its my fault babe
its my fault babe
its my fault
how im supposed to know how deep
how im supposed to know how deep"
days,Zaeden,indie-pop,0.811,0.499,7.0,-9.37,1.0,0.0589,0.255,0.00478,0.189,0.373,144.028,1,2mEHyRXGIPArlWSDkIqujW,2021-07-02,2021,"1 contributordays lyricsdays go by and i dont miss you
days go by i dont need to
यद न आए तर बत न आए तर
ख़द क सभल मन य
दल मर ह सह इसम अब त नह
चह ज भ वह कर
तर घर क रसत स गज़रत रहत ह म
तझक दखन क कई भ इरद नह yeah
days go by and i dont miss you
days go by i dont need to
days go by and i dont miss you
days go by i dont need to
days go by
मर त ह नह मझक ह य यक़
दल मनत नह थ कय
बत तर जह अब हत ह
वह रकत नह म कय कर
त हव म बहतबहत आए
कय ह हर जगह प त
तर घर क रसत स गज़रत रहत ह म
तझक दखन क कई भ इरद नह yeah
days go by and i dont miss you
days go by i dont need to
days go by and i dont miss you
days go by i dont need to"
Mess It Up,Gracie Abrams,indie-pop,0.765,0.582,0.0,-4.528,1.0,0.12,0.245,8.21e-05,0.154,0.36,132.992,1,0PLhwCmQ7cC3ThRGPn3HxF,2021-05-07,2021,"open to double doors
typical pretty sure i could grow up
probably chemical
i took up walking to turn it all off
doesnt feel bearable
guess i thought when i left it would all stop
hmm it would all stop
did i fall out of line when i called you
when i told you im fine you were lied to
how could i think that all that i gave you was enough
cause every time i get too close i just go mess it up
funny that funny that didnt work didnt work
i could be anywhere im on your block
cynical cynical terrible terrible
kicking myself with my gut in a knot
cause i heard that youre heard that youre happier happiеr
hope that youre sleeping well knowing im not
im doing too much hmm
did i fall did i fall out of linе out of line when i called you
when i told when i told you im fine you im fine you were lied to
i told you im lying
how could i think that all that i gave you was enough
cause every time i get too close i just go mess it up
i keep thinking maybe if you let me back in
we can make it better breaking every habit
pull myself together you could watch it happen
let it happen let it happen
i keep thinking maybe if you let me back in
we can make it better breaking every habit
pull myself together you could watch it happen
let it happen let it happen
i keep thinking maybe if you let me back in did i fall out of line when i called you
we can make it better breaking every habit
pull myself together you could watch it happen when i told you im fine you were lied to
let it happen let it happen i told you im lying
i keep thinking maybe if you let me back in how could i think that all that i gave you was enough
we can make it better breaking every habit
pull myself together you could watch it happen cause every time i get too close i just go mess it up
let it happen let it happen"
Ross And Rachel,Jake Miller,indie-pop,0.66,0.639,9.0,-6.61,1.0,0.0286,0.345,0.00109,0.0775,0.227,124.068,1,4vCiNW18AyeaUAZosVnX61,2021-06-18,2021,"started out as friends only friends
but i knew from that moment i knew from that moment
that i was falling fast falling fast
but you never noticed you never noticed
i lived right down the hall
like a fly on the wall
knew you better than you knew yourself yourself
couldnt get you alone so id sit by the phone
i put myself through hell
could you even tell
thank god i waited
thank god that i waited
cause my love never faded
i just needed patience
it was always you
yeah it was always you
oh yeah yeahyeah
thank god i waited
thank god that i waited
cause my love never faded
i just needed patience
it was always you
yeah it was always you
oh yeah yeahyeah
remember when you slept at my place
we were kissin and touchin kissin and touchin
i thought you mind had changed
but you woke up and said it was nothin
were nothin
i lived right down the hall
like a fly on the wall
knew you better than you knew yourself yourself
couldnt get you alone so id sit by the phone
i put myself through hell
could you even tell
thank god i waited
thank god that i waited
cause my love never faded
i just needed patience
it was always you
yeah it was always you
oh yeah yeahyeah
thank god i waited
thank god that i waited
cause my love never faded
i just needed patience
it was always you
yeah it was always you
oh yeah yeahyeah
thank god i waited
thank god that i waited
cause my love never faded
i just needed patience
it was always you always you yeah haha
yeah it was always you
oh yeah yeahyeah
thank god i waited
thank god that i waited
cause my love never faded
i just needed patience
it was always you always you yeah haha
yeah it was always you
yeah it was always you
yeah it was always you
yeah it was always you
yeah it was always you
oh yeah yeahyeah"
Scars leave beautiful trace,"Car, the garden",indie-pop,0.479,0.535,11.0,-6.676,0.0,0.03,0.49,0.0,0.0923,0.21,82.024,1,1y6dEjheBdnopNo0xDXJ9P,2022-06-26,2022,"내맘을 쥔
어둔 빛이
날카롭게
베고 스쳐가
oh oh
항상 또 날
울렸던건
미쳐 안아 주질 못했던
나의 아픔들
ooh
but ive finally found you
ooh
아름다운 너의
눈동자속은
꽃과 햇빛을 담아
피어난듯해
내맘은
i will be with you
그대여
youll never be alone
언제나 곁에
머물러 줬음해
상처는 아름다운 흔적이 돼
한발씩 더
딛을 때면
이젠 알아
내 앞의 놓인 길
oh oh
깊게 숨을 쉬어
저 멀릴 바라보고
다시 일어서
견뎌내
i will stand here strong
이제 난
im never falling down
두렵진 않아
앞을 바라봐 어서
상처는 아름다운 흔적이 돼
oh oh
oh oh
차갑던 계절 속
그 속에도 피어나
보여 네가
into you
그대여
youll never be alone
언제나 곁에
머물러 줄게 나
상처는 아름다운 흔적이 돼
i will be with you
그대여
youll never be alone
언제나 곁에
머물러 줬음해
상처는 아름다운 흔적이 돼"
Waterfalls,Death Cab for Cutie,indie-pop,0.483,0.436,8.0,-8.734,1.0,0.0389,0.663,0.000586,0.103,0.241,171.842,1,6p8ZhmQS4fia0j93S2M3Fj,2021-01-13,2021,"a lonely mother gazing out of the window
staring at a son that she just cant touch
if at any time hes in a jam shell be by his side
but he doesnt realize he hurts her so much
but all the praying just aint helping at all
cause he cant seem to keep himself out of trouble
so he goes out and he makes his money the best way he knows how
another body lying cold in the gutter
listen to me
dont go chasing waterfalls
please stick to the rivers and the lakes that youre usеd to
i know that youre gonna have it your way or nothing at all
but i think youre moving too fast
littlе precious has a natural obsession for temptation
but he just cant see
she gives him loving that his body cant handle
but all he can say is baby its good to me
one day he goes and takes a glimpse in the mirror
but he doesnt recognize his own face
his health is fading and he doesnt know why
three letters took him to his final resting place
yall dont hear me
dont go chasing waterfalls
please stick to the rivers and the lakes that youre used to
i know that youre gonna have it your way or nothing at all
but i think youre moving too fast
dont go chasing waterfalls
please stick to the rivers and the lakes that youre used to
i know that youre gonna have it your way or nothing at all
but i think youre moving too fast
dont go chasing waterfalls
please stick to the rivers and the lakes that youre used to
i know that youre gonna have it your way or nothing at all
but i think youre moving too fast
dont go chasing waterfalls
please stick to the rivers and the lakes that youre used to
i know that youre gonna have it your way or nothing at all
but i think youre moving too fast"
Everybody Talks,Neon Trees,indie-pop,0.474,0.916,8.0,-3.93,1.0,0.0624,0.00504,0.0,0.325,0.745,154.948,1,2iUmqdfGZcHIhS3b9E9EWq,2012-01-01,2012,"ahahahah
ahem ahem
hey baby wont you look my way
i can be your new addiction
hey baby what you got to say
all youre giving me is fiction
im a sorry sucker and this happens all the time
i find out that everybody talks
everybody talks everybody talks
it started with a whisper
and that was when i kissed her
and then she made my lips hurt
i can hear the chitchat
take me to your love shack
mamas always gotta backtrack
when everybody talks back
hey honey you could be my drug
you could be my new prescription
too much could be an overdose
all this trashtalk make me itchin
oh my my shit everybody talks
everybody talks everybody talks
everybody talks too much
it started with a whisper
and that was when i kissed her
and then she made my lips hurt
i can hear the chitchat
take me to your love shack
mamas always got a backtrack
when everybody talks back
never thought id live to see the day ahah
when everybodys words got in the way oh
hey sugar show me all your love
all youre giving me is friction
hey sugar what you gotta say
it started with a whisper
and that was when i kissed her
and then she made my lips hurt
i can hear the chitchat
take me to your love shack
mamas always got a backtrack
when everybody talks back
everybody talks everybody talks
everybody talks everybody talks
everybody talks everybody talks back
it started with a whisper
everybody talks everybody talks
and that was when i kissed her
everybody talks everybody talks
everybody talks everybody talks back uh"
Daydreams,Maisie Peters,indie-pop,0.423,0.303,9.0,-9.008,1.0,0.0389,0.857,0.000341,0.0778,0.269,136.072,1,58f9nTeQ3ORN2nvtWYbnON,2020-03-27,2020,"i was unattached
he was quite a catch with a nose ring
serves coffee on the side
looks handsome in a tie and he knows it
step into my taxi
pull away hes waving at me
i can dress it up pretty
i can blame it on cities
but he doesnt want me
he doesnt want me
when it comes to it
really the truth is
oh no he doesnt want me
and i know that i could pretend
but its one down
and its back to daydreams again
sometimes you can try
do everything just right make him notice
cue the moon and stars
i wait outside the bar in a nice dress
maybe it just slipped his mind
maybe he was working late tonight
i can dress it up pretty
i can blame it on cities
but he doesnt want me
he doesnt want me
when it comes to it
really the truth is
oh no he doesnt want me
and i know that i could pretend
but its one down
and its back to daydreams again
ooh oohooh oohooh
ooh oohooh oohooh
ooh oohooh oohooh
ooh oohooh oohooh
oohooh ooh
funny when it rains
you can never catch a train
on the red line
you step in from the storm
a stranger holds the door
and its spring time"
Holiday Rock,Neon Trees,indie-pop,0.529,0.818,6.0,-6.622,1.0,0.04,6.5e-05,0.0,0.354,0.684,148.173,1,1QG0ibNEFUb0sIFDsIYrMk,2021-10-29,2021,"tis the season
its the one month of the year to let it out
million reasons
to light up the town and decorate this house
suddenly the air is freezing
trouble leaving us one time of year
suddenly the bells are ringing
christmas cheer
holiday holiday holiday
holiday rock
gettin everyone shakin
holiday holiday holiday
holiday rock
lil good misbehaving
make me believe this season
oh something about this feeling
holiday holiday holiday
holiday rock
stocking stuffers on the mantle
hangin lights up on the tree
greeting cards from former lovers
friends and family christmas evе
suddenly the egg nogs hittin
troublе leaving our mind for the night
suddenly you find us kissin
mistletoe time
holiday holiday holiday
holiday rock
gettin everyone shakin
holiday holiday holiday
holiday rock
lil good misbehaving
make me believe this season
oh something about this feeling
holiday holiday holiday
holiday rock
suddenly the air is freezing
trouble leaving us one time of year
suddenly the bells are ringing
christmas cheer
holiday holiday holiday
holiday rock
gettin everyone shakin
holiday holiday holiday
holiday rock
lil good misbehaving
make me believe this season
oh something about this feeling
holiday holiday holiday
holiday
holiday holiday holiday
holiday
holiday holiday holiday
holiday rock"
Roman Candles,Death Cab for Cutie,indie-pop,0.518,0.757,6.0,-8.584,0.0,0.0555,0.000777,0.00931,0.115,0.189,129.901,1,1dxXQuExRVu77xF1r5YtRF,2022-09-16,2022,"its been a battle just to wake and greet the day
then they all disappear like sugar in my coffee
sugar in my coffee
a hint of sweetness but the bitterness remains
the acidity devouring my body
devouring my body
but i am learning to let go
of everything i tried to hold
too long cause they all explode
like roman candles
i used to feel everything like a flame
but now its a struggle just to feel anything
to feel anything
i watch the world from a window on a hill
everyone moving as im standing still
im standing still
but i am learning to let go
of everything i tried to hold
too long cause they all explode
like roman candles
ahwoo ahwoo
ahwoo ahwoo
but i am learning to let go ahwoo
of everything i tried to hold ahwoo
too long cause they all explode
like roman candles
like roman candles"
Here to Forever,Death Cab for Cutie,indie-pop,0.62,0.773,2.0,-8.324,1.0,0.0382,0.0741,0.000606,0.158,0.934,157.991,1,7Cva2EgJougx6O6M5xgWAq,2022-09-16,2022,"in every movie i watch from the fifties
theres only one thought that swirls around my head now
and thats that everyone there on the screen
yeah everyone there on the screen well theyre all dead now
theyre all dead now
and it aint easy living above
and i cant help but keep falling in love with bones and ashes
with bones and ashes
and when the color is too bold and bright
im daydreaming in black and white until it passes
until it passеs
i wanna know the measure from hеre to forever
and i wanna feel the pressure of god or whatever
oh these days its so hard to relax
you gotta hold a gun to my back to make me smile
to make me smile
and the only way i seem to cope
is by trying to hold on to hope if just for a while
if just for a while
i wanna know the measure from here to forever
and i wanna feel the pressure of god or whatever
now it seems more than ever theres no hands on the levers
and i wanna feel the pressure of god or whatever
only rollers keep rolling
while the searchers keep scrolling
i wanna know the measure from here to forever
and i wanna feel the pressure of god or whatever
now it seems more than ever theres no hands on the levers
and i wanna feel the pressure of god or whatever
or whatever"
Over - Sped Up,Lucky Daye,indie-pop,0.694,0.67,2.0,-5.624,0.0,0.105,0.471,0.0,0.183,0.443,125.509,1,3JycZFWWQGXkTTJQ6CoNFy,2021-09-22,2021,"every time we link up its only us there
were thinking will we get there
is it wrong is it right
you know that i miss you but i be getting mixed signals
why you slow down dont stop this green light
now you calling me special
when you know i cant have you
when im on to the next one
oh now you wan get aggressive
ooh fuck do you mean
you keep on making me leave
nightmares turned into a dream
if youre so toxic to me what am i fiending
cause i thought it was over
got me thinking my feelings over
you keep doing it over and over
you keep calling me back
im just tryna gеt closure
but you pulling me closer and closеr
phone ringing like over and over
cause you keep calling me back
lalalalalalala
why you keep calling me back back
love me then you switch up
id rather we never pick up
but can we slip up and mix up sometimes
you say you dont mean it just want it when its convenient
am i crazy for waiting i might slide
now you calling me special
when you know i cant have you
when im on to the next one
oh now you wan get aggressive
oh fuck do you mean
you keep on making me leave
nightmares turned into a dream
if youre so toxic to me what am i fiending
cause i thought it was over
got me thinking my feelings over
you keep doing it over and over
you keep calling me back
im just tryna get closure
but you pulling me closer and closer
phone ringing like over and over
cause you keep calling me back
lalalalalalala
why you keep calling me back back
now you walking on a thin line
we been through it like ten times
ima put you in line
yeah i had you on a incline
now i dont even wanna reply
ima have to decline
yeah you show me i dont wanna rewind
yeah know you a ten but that attitude aint fine"
The Other Side Of Paradise,Glass Animals,indie-pop,0.689,0.338,11.0,-7.634,0.0,0.0629,0.349,5.7e-05,0.0649,0.568,128.012,1,0rRjGruFonCGOt0S5zAJNQ,2016-08-26,2016,"when i was young and stupid
my love left to be a rock and roll star
he told me please dont worry
wise little smile that spoke so safely
he booked a oneway ticket
out west thats where they make it
six kids stuck in a bedsit
to sunswept poolside riches
he met a girl who wore versace
pink feather coats and jumbo jewelry
gonna be a hoop phenomenon
hes gonna be hakeem olajuwon
hes got a gold camaro
he said over the payphone
i try to keep my cool but
my life turns in slow motion
byebye baby blue
i wish you could see the wicked truth
caught up in a rush its killin you
screamin at the sun you blow into
curled up in a grip when we were us
fingers in a fist like you might run
i settle for a ghost i never knew
super paradise i held on to
but i settle for a ghost
where i was from in nola
no one left to be a rock and roll star
hed stay and treat his lady
give everything to his new baby
i miss him dont you blame me
that boy went stone cold crazy
caught up in camera lust
hes chasin that pappy pipe dream
ooh ooh
i know you dont but i
i know you dont but i still try
my thunder shook him down
my thunder came and shook him down
that girl is gone but i
that girl is gone but i still try
i think its over now
the bullet hit but maybe not
i feel so fuckin numb
it hits my head and i feel numb
my bodys lookin wrong
my bodys lookin wrong
my bodys lookin wrong
byebye baby blue
i wish you could see the wicked truth
caught up in a rush its killin you
screamin at the sun you blow into
curled up in a grip when we were us
fingers in a fist like you might run
i settle for a ghost i never knew
super paradise i held on to
but i settle for a ghost"
Not Allowed,TV Girl,indie-pop,0.67,0.905,1.0,-6.855,1.0,0.129,0.669,0.000227,0.349,0.563,104.965,1,3IznIgmXtrUaoPWpQTy5jB,2016-02-25,2016,"now you suck
we wanna talk about sex but were not allowed
well you may not like it but youd better learn how cause its your turn now
boy youre wasting your tongue with lame excuses and lies
now whats on your nasty old mind
so how should i begin this
i guess it started when you were with him
and how he never even took you out to dance
but did he fuck with any rhythm
but now hes playing with your head
but did he ever make you cum
did he ever make you cry
do the wires in your mind get sewn together
rubbed and severed by the heat
you dont know how long i could stare into your picture
and wish that it was me
i guess its different cause you love him
but ive got an interactive
sick and twisted imagination
and thats gotta count for something
we wanna talk about sex but were not allowed
well you may not like it but youd better learn how cause its your turn now
boy youre wasting your tongue with lame excuses and lies
get your face between my thighs
i dreamt i was standing in your doorstep
licking sweat off of your forehead
with your finger in my mouth
and the sound when leather jackets hit the ground
you should hear when youre not around
when its just us horny poets
who cant wait to write it down
and swear we were only being honest
do you like these little sonnets
cause i wrote them just for you
but how quickly they turn sour
so be careful who you screw
and never call
and im starting to suspect
you dont intend to do anything you say at all
we wanna talk about sex but were not allowed
well you may not like it but youd better learn how cause its your turn now
boy youre wasting your tongue with lame excuses and lies
now whats on your nasty old mind
all by yourself sittin alone
i hope were still friends yeah i hope you dont mind
all by yourself sittin alone
i hope were still friends yeah i hope you dont mind
all by yourself sittin alone
i hope were still friends yeah i hope you dont mind
all by yourself sittin alone
i hope were still friends yeah i hope you dont mind
all by yourself sittin alone
i hope were still friends yeah i hope you dont mind
all by yourself sittin alone
i hope were still friends yeah i hope you dont mind
all by yourself sittin alone
i hope were still friends yeah i hope you dont mind
all by yourself sittin alone
i hope were still friends yeah i hope you dont mind"
Can't Help Falling in Love,Christian Leave,indie-pop,0.608,0.269,0.0,-7.201,1.0,0.0329,0.983,1.96e-06,0.337,0.389,126.372,1,6VrAgFXBbRX2PkT92lAoKK,2016-07-01,2016,"wise men say
only fools rush in
but i cant help falling in love with you
shall i stay
would it be a sin
if i cant help falling in love with you
like a river flows
surely to the sea
darling so it goes
some things are meant to be
take my hand
take my whole life too
for i cant help falling in love with you
like a river flows
surely to the sea
darling so it goes
some things are meant to be
take my hand
take my whole life too
for i cant help falling in love with you
for i cant help falling in love with you"
Bags,Clairo,indie-pop,0.742,0.546,1.0,-7.694,1.0,0.0315,0.172,0.38,0.115,0.868,104.996,1,6UFivO2zqqPFPoQYsEMuCc,2019-08-02,2019,"every second counts
i dont wanna talk to you anymore and
all these little games
you can call me by the name i gave you yesterday yeah
every minute counts
i dont wanna watch tv anymore yeah
can you figure me out
just doin this to waste more time on the couch
can you see me im waiting for the right time
i cant read you but if you want the pleasures all mine
can you see me using everything to hold back
i guess this could be worse
walking out the door with your bags
walking out the door with your bags
walking out the door with your bags
walking out the door with your bags
pour your glass of wine
mitchell told me i should be just fine yeah
cases under the bed
spill it open let it rush to my head
i dont wanna be forward i dont wanna cut corners
savor this with everything i have inside of me
im not the type to run
i know that were having fun
but whats the rush kissing then my cheeks are so flushed
tell you how i felt
sugar coated melting in your mouth
pardon my emotions
i should probably keep it all to myself
know youd make fun of me
know youd make fun of me
know youd make fun of me
know youd make fun of me
can you see me im waiting for the right time
i cant read you but if you want the pleasures all mine
can you see me using everything to hold back
i guess this could be worse
walking out the door with your bags
walking out the door with your bags
walking out the door with your bags
walking out the door with your bags"
This Is Home,Cavetown,indie-pop,0.811,0.266,7.0,-12.478,1.0,0.0406,0.56,1.05e-06,0.0962,0.211,130.044,1,7s8VgA8OjvwBUuigKzEGBx,2015-08-03,2015,"often i am upset
that i cannot fall in love but i guess
this avoids the stress of falling out of it
are you tired of me yet
im a little sick right now but i swear
when im ready i will fly us out of here
oohoohoohoohooh
ill cut my hair
oohoohoohoohooh
to make you stare
oohoohoohoohooh
ill hide my chest and ill
figure out a way to get us out of here
oohoohoohoohooh
oohoohoohoohooh
oohoohoohoohooh
oohoohoohoohooh
turn off your porcelain face
i cant really think right now and this place
has too many colors enough to drive all of us insane
are you dead sometimes i think im dead
cause i can feel ghosts and ghouls wrapping my head
but i dont wanna fall asleep just yet
oohoohoohoohooh
my eyes went dark
oohoohoohoohooh
i dont know where
oohoohoohoohooh
my pupils are but ill
figure out a way to get us out of here
get a load of this monster
he doesnt know how to communicate
his mind is in a different place
will everybody please give him a little bit of space
get a load of this train wreck
his hairs a mess and he doesnt know who he is yet
but little do we know the stars
welcome him with open arms
oh
oohoohoohoohooh
time is
oohoohoohoohooh
slowly
oohoohoohoohooh
tracing his face
but strangely he feels at home in this place"
What If I Love You,Gatlin,indie-pop,0.743,0.666,11.0,-8.337,1.0,0.0546,0.432,1.77e-05,0.129,0.492,101.002,1,47Gqye8c5KwOBba4dwF1iY,2021-04-08,2021,"they say its once in a lifetime
you only get one so guess that im done for life hm
youre doin just fine
i knew that you would i bet she looks good tonight yeah
everybody knows you in the city
every street is bringing back a memory
wish id run into you accidentally
still looking for your car just kill me
by now i should be okay
thats easy for you to say
what if i loved you
what if i loved you way too much
what if i love you
what if i love you way too much
they say its one in a lifetime
but does it really count if you were like nevermind
and im being too nice
droppin it all just to see you at night yeah
everybody knows you in this city
evеry street is bringing back a memory
calling you again i guess youre busy
still wishing you wеre here just kill me
by now i should be okay
thats easy for you to say
what if i loved you
what if i loved you way too much
what if i love you
what if i love you way too much
everybody knows you in the city
every street is bringing back a memory
wish id run into you accidentally
still looking for your car just kill me
by now i should be okay
thats easy for you to say
what if i loved you
what if i loved you way too much
what if i love you
what if i love"
Your New Boyfriend,Wilbur Soot,indie-pop,0.546,0.453,7.0,-13.04,1.0,0.121,0.382,3.9e-05,0.106,0.74,104.532,1,4vLBnQtece15fFhqWxZvJP,2020-12-11,2020,"life isnt quite what i thought id be
when i was a kid on voip
i thought when i get older
id marry her i told her
now im twentysix and i work in an office
nine till fives not the best ill be honest
if i could change a single thing
id make it me and not him
but hes in your bed im in your twitch chat
ive got the key and hes just a doormat
and even though hes got social skills
that doesnt mean i cant pay the bills
anyway make the most of him
cause she moves on pretty bloody quick ohoh
your new boyfriends an arsehole
woo
and yeah ive met jared of course ive met jared
the one who took you away from me
you hit it off instantly
i know cause you wont stop telling me
ive seen his jawline shoulders and muscles
push against his fashion sense
ive thought about what he looks like nude
im not gay though
cause shes living the dream living the dream living the dream
oh shes living the dream
from back when we were seventeen
shes living the dream living the dream living the dream
oh shes living the dream
from back when we were seventeen
how on earth could i be saved
when im one click away from insane
i just think that i deserve
a little bit of what i earned
im not gonna make another scene
the one i made when i was twentythree
means im not allowed in disney world
but hes in your bed and im in your twitch chat
ive got the key and hes just a doormat
cause even though hes got social skills
that doesnt mean i cant pay the bills
anyway make the most of him
cause she moves on pretty bloody quick ohoh
your new boyfriends an arsehole
i think about you every day every day
so how on earth can i be saved can i be saved
i think about him a lot as well i think about him
maybe if he wasnt fine as hell hes really fine as hell
cause youre beauty
and youre grace and youre grace
your telephone calls are my favourite place
and i want you to notice me
with no restraining order please jason derulo
i want you to care
i want to smell your hair"
Pure Love,Hayley Williams,indie-pop,0.79,0.475,0.0,-6.787,1.0,0.0585,0.0772,7.58e-05,0.125,0.827,95.003,1,4LdTaU7Xqml2idOJjy96xR,2020-05-08,2020,"huh
the opposite
the opposite of love is fear
im still trying to get hm
used to how the former feels
cause it feels so new
you think you know me
wait til i open up to you
if i want pure love
must stop acting so tough
i give a little you give a little
we get a little sentimental
if i want your love
ooh got to open up
i give a little you give a little
we get a little sentimental
a deeper way
a deeper way to understand
to understand the line between
who you are and who i am baby
cause to let you in i want your love i want your love now
is true compromise i want your love
not just the friction of our skin i want your love now
if i want pure love
must stop acting so tough
i give a little you give a little
we get a little sentimental
if i want your love
ooh got to open up
i give a little you give a little
we get a little experimental
i guess i guess i guess i guess
i could i guess i could i guess
guess i oughta clean up these bloody fists if its alright
and yes i guess and yes i guess
its for the best its for the best
guess you really gotta call your own bluff if you want pure love
if i want pure love
if i want pure love
must stop acting so tough
i give a little you give a little
we get a little sentimental
if i want your love
ooh got to open up
i give a little you give a little
we get a little sentimental
if i want your love ooh
if i want your love
i want your love i want your love
i want your love i want your love now
i want your love i want your love
i want your love i want your love now
i give a little you give a little
we get a little sentimental
and if i want your love
if i want your love
i want your love i want your love
i want your love i want your love now
i give a little you give a little
we get a little sentimental"
Boy In A Billion,Claire Rosinkranz,indie-pop,0.513,0.458,10.0,-7.3,1.0,0.142,0.437,0.0,0.295,0.488,79.039,1,6DMWwt5XEJKlWYhw2EK76h,2021-06-30,2021,"hes one in a billion
two good souls with a million memories made
and i wont deny hes special
but i will get past all of my pain
and yeah i feel crushed
but love aint something you can rush
and one day youre gonna be okay
cause hes one boy of a billion babe ay
i gotta let myself go cant go back mmm
but its hard to call him stranger after that
i hate how hes one in a billion
how he loved me a million times again
but im glad ive loved someone who loved the way he did
and though some days are bitter
i would nevеr be a quitter not for him
cause its only thе beginning yeah its only my beginning
to find my one in a billion
two great souls with a million memories to make
and so what im hurting but it could never be a mistake
and he was just a crush i fell for a little too much
but darling at the end of the day
hes just a boy of a billion babe ay ay ay
i gotta let myself go cant go back mmm cant go back
but its hard to call him stranger after that
i hate how hes one in a billion
how he loved me a million times again
but im glad ive loved someone who loved the way he did
and though some days are bitter
i would never be a quitter not for him
cause its only my beginning
hes just one of a billion and i will get past all of my pain
hey hey i will get past all of my pain
hes just one of a billion but it will never be a mistake
but it will never be a mistake
hes just one of a billion
cause hes one in a billion
and he loved me a million times again
im so glad ive loved someone who loved the way i did
hes just one of a billion
and though some days are bitter
i would never be a quitter not for him
cause its only my beginning
hes just one of a billion
i hate how hes one in a billion
how he loved me a million times again
but im glad ive loved someone who loved the way he did
and though some days are bitter
i would never be a quitter not for him
cause its only my beginning hes just one boy of a billion"
Pretty Little Things,Claire Rosinkranz,indie-pop,0.506,0.371,0.0,-9.648,1.0,0.0717,0.782,0.0,0.11,0.45,79.01,1,6ucJwhu8T4S8r3NUPsQHNW,2021-07-09,2021,"oh my head lay in my pillow close my eyes think bout your face
thinking bout the sunny picnics on those perfect summer days
i remember when you told me you wanted to take me on a date
but baby we were not realistic nothing left for me to chase
open up our hearts but sometimes life will close the door
all these pretty little things in life we have to learn to ignore
sometimes when youve got a crush
the feeling often leaves you sore
all these pretty little things in life we have to learn to ignore
it wasnt bad or complicated it just wasnt meant to be
kinda sucks but thats the way it goes i think we both agree
when we first talked on the phone
i didnt think that there could be anything that made us more than two kids talking through a screen
open up our hearts but sometimes life will close the door
all these pretty little things in life we have to learn to ignore
sometimes when youve got a crush
the feeling often leaves you sore
all these pretty little things in life we have to learn to ignore
i chose this i chose this
and god is the only one who really knows it
but if i had a second chance would i say no to that romance
and i dont think i would
but i based my decision on whether i should
and though maybe it was right
kinda wish that ive kept the guy
open up our hearts but sometimes life will close the door
all these pretty little things in life we have to learn to ignore
sometimes when youve got a crush
the feeling often leaves you sore
all these pretty little things in life we have to learn to ignore"
