name_lower,artist_lower,spt_id,release_year,billboard_year,is_bb
birthday cake,rihanna,4EfN6bixdOOgoLYR5C4cWo,2011,2012,1
so good,b.o.b,28GUjBGqZVcAV4PHSYzkj2,2012,2012,1
50 ways to say goodbye,train,2NniAhAtkRACaMeYt48xlD,2012,2012,1
red solo cup,toby keith,4YKAOXyqkKZ5gOZR0AmVMN,2011,2012,1
love you like a love song,selena gomez & the scene,0laYHRpNTS6i8FXdupHkJ4,2011,2012,1
turn up the music,chris brown,1RMRkCn07y2xtBip9DzwmC,2012,2012,1
die young,kesha,7EQGXaVSyEDsCWKmUcfpLk,2012,2012,1
5 o'clock,t-pain,42EMFjvFtOki8MA0JNZqVK,2011,2012,1
a thousand years,christina perri,6lanRgr6wXibZr8KgzXxBl,2011,2012,1
take a little ride,jason aldean,1KZ13No14RifaK2e9ii8da,2012,2012,1
you da one,rihanna,3Yt9lRtS5V4nbJnwcgFgvC,2011,2012,1
we run the night,havana brown,0mtPNQl5vePVwiI9Vykp7L,2011,2012,1
it's time,imagine dragons,6BtmXhTJMM9sBTHeYYASGz,2012,2012,1
cashin' out,cash out,3yMx8KDWzldbPlRcfjeoNO,2014,2012,1
i don't want this night to end,luke bryan,7c1KTn1z8Gw8ouYdcF4qaG,2011,2012,1
diamonds,rihanna,1z9kQ14XBSN0r2v6fx4IdG,2012,2012,1
hard to love,lee brice,6E9V9TRlVOLjenGjHemzEH,2012,2012,1
somethin' 'bout a truck,kip moore,6Ymvlzom4TQeoKqAWsZRD8,2012,2012,1
adorn,miguel,25cUhiAod71TIQSNicOaW3,2012,2012,1
fly over states,jason aldean,0dUsJqLL2gVO9SOQXtgCMd,2010,2012,1
even if it breaks your heart,eli young band,0Nu9WA8kEbBWEsay2s8Q0U,2011,2012,1
burn it down,linkin park,7oVEtyuv9NBmnytsCIsY5I,2012,2012,1
thrift shop,macklemore & ryan lewis,6CjtS2JZH9RkDz5UVInsa9,2012,2013,1
blurred lines,robin thicke,0n4bITAu0Y0nigrz3MFJMb,2013,2013,1
radioactive,imagine dragons,4G8gkOterJn0Ywt6uhqbhp,2012,2013,1
harlem shake,baauer,01XFgRZfZI7oBagNf1Loml,2013,2013,1
can't hold us,macklemore & ryan lewis,22skzmqfdWrjJylampe0kt,2012,2013,1
mirrors,justin timberlake,4rHZZAmHpZrA3iH5zx8frV,2013,2013,1
just give me a reason,pink,1mKXFLRA179hdOWQBwUk9e,2012,2013,1
when i was your man,bruno mars,0nJW01T7XtvILxQgC5J7Wh,2012,2013,1
cruise,florida georgia line,0i5el041vd6nxrGEU8QRxy,2012,2013,1
roar,katy perry,27tNWlhdAryQY04Gb2ZhUI,2013,2013,1
locked out of heaven,bruno mars,3w3y8KPTfNeOKPiqUTakBh,2012,2013,1
stay,rihanna,789CxjEOtO76BVD1A9yJQH,2012,2013,1
get lucky,daft punk,2Foc5Q5nqNiosCNqttzHof,2013,2013,1
royals,lorde,2dLLR6qlu5UJ5gk0dKz0h3,2013,2013,1
i knew you were trouble,taylor swift,6FB3v4YcR57y4tXFcdxI1E,2012,2013,1
we can't stop,miley cyrus,2y4lAQpi5VTNLu2ldeTdUH,2013,2013,1
wrecking ball,miley cyrus,2vwlzO0Qp8kfEtzTsCXfyE,2013,2013,1
wake me up,avicii,0nrRP2bk19rLc0orkWPQk2,2013,2013,1
suit & tie,justin timberlake,6vt0I1cw1YmAIKDJvHVIM5,2013,2013,1
cups (pitch perfect's when i'm gone),anna kendrick,6mH3qVIeOsnQIAho5eWwhH,2015,2013,1
holy grail,jay-z,37jTPJgwCCmIGMPB45jrPV,2013,2013,1
scream & shout,will.i.am,2iJuuzV8P9Yz0VSurttIV5,2013,2013,1
clarity,zedd,60wwxj6Dd9NJlirf84wr2c,2012,2013,1
sail,awolnation,7ueP5u2qkdZbIPN2YA6LR0,2011,2013,1
don't you worry child,swedish house mafia,2V65y3PX4DkRhy1djlxd9p,2012,2013,1
i love it,icona pop,6HZ9VeI5IRFCNQLXhpF4bq,2013,2013,1
safe and sound,capital cities,5JVbvCHX10U2pLa5DEqGav,2013,2013,1
treasure,bruno mars,55h7vJchibLdUkxdlX3fK7,2012,2013,1
the way,ariana grande,06EL94D0TA27Ik0Ke5usbj,2013,2013,1
started from the bottom,drake,5DI9jxTHrEiFAhStG7VA8E,2013,2013,1
come & get it,selena gomez,6LoQHIo74tOzQ8EsLEkhgF,2013,2013,1
"hold on, we're going home",drake,2aSC2xhRxOLiiZZVjhbylH,2013,2013,1
daylight,maroon 5,6TwfdLbaxTKzQi3AgsZNzx,2012,2013,1
feel this moment,pitbull,0Hf4aIJpsN4Os2f0y0VqWl,2012,2013,1
