,billboard_year,rank,name,artist,featuring,target
79,2010,80,I Made It (Cash Money Heroes),Kevin Rudolf,Birdman & Jay Sean & Lil Wayne,1
80,2010,81,Stuck Like Glue,Sugarland,,1
81,2010,82,Hey Daddy (Daddy's Home),Usher,Plies,1
82,2010,83,There Goes My Baby,Usher,,1
83,2010,84,Today Was a Fairytale,Taylor Swift,,1
84,2010,85,Say Something,Timbaland,Drake,1
85,2010,86,Sweet Dreams,Beyoncé,,1
86,2010,87,Use Somebody,Kings of Leon,,1
87,2010,88,Undo It,Carrie Underwood,,1
88,2010,89,Eenie Meenie,Sean Kingston & Justin Bieber,,1
89,2010,90,Right Above It,Lil Wayne,Drake,1
90,2010,91,The House That Built Me,Miranda Lambert,,1
91,2010,92,If I Die Young,The Band Perry,,1
92,2010,93,The Only Exception,Paramore,,1
93,2010,94,American Honey,Lady Antebellum,,1
94,2010,95,King of Anything,Sara Bareilles,,1
95,2010,96,Life After You,Daughtry,,1
96,2010,97,Smile,Uncle Kracker,,1
97,2010,98,Teach Me How to Dougie,Cali Swag District,,1
98,2010,99,Try Sleeping with a Broken Heart,Alicia Keys,,1
99,2010,100,"Lover, Lover",Jerrod Niemann,,1
100,2011,1,Rolling in the Deep,Adele,,1
101,2011,2,Party Rock Anthem,LMFAO,Lauren Bennett & GoonRock,1
102,2011,3,Firework,Katy Perry,,1
103,2011,4,E.T.,Katy Perry,Kanye West,1
104,2011,5,Give Me Everything,Pitbull,Ne-Yo & Afrojack & Nayer,1
105,2011,6,Grenade,Bruno Mars,,1
106,2011,7,Fuck You (Forget You),CeeLo Green,,1
107,2011,8,Super Bass,Nicki Minaj,,1
108,2011,9,Moves like Jagger,Maroon 5,Christina Aguilera,1
109,2011,10,Just Can't Get Enough,The Black Eyed Peas,,1
110,2011,11,On the Floor,Jennifer Lopez,Pitbull,1
111,2011,12,S&M,Rihanna,,1
112,2011,13,Pumped Up Kicks,Foster the People,,1
113,2011,14,Last Friday Night (T.G.I.F.),Katy Perry,,1
114,2011,15,Just the Way You Are,Bruno Mars,,1
115,2011,16,Tonight (I'm Lovin' You),Enrique Iglesias,Ludacris & DJ Frank E,1
116,2011,17,Raise Your Glass,Pink,,1
117,2011,18,Born This Way,Lady Gaga,,1
118,2011,19,Fuckin' Perfect,Pink,,1
119,2011,20,What's My Name?,Rihanna,Drake,1
120,2011,21,Look at Me Now,Chris Brown,Lil Wayne & Busta Rhymes,1
121,2011,22,Down on Me,Jeremih,50 Cent,1
122,2011,23,How to Love,Lil Wayne,,1
123,2011,24,Someone Like You,Adele,,1
124,2011,25,Good Life,OneRepublic,,1
125,2011,26,The Lazy Song,Bruno Mars,,1
126,2011,27,Till the World Ends,Britney Spears,,1
127,2011,28,The Show Goes On,Lupe Fiasco,,1
128,2011,29,The Edge of Glory,Lady Gaga,,1
129,2011,30,We R Who We R,Kesha,,1
130,2011,31,Black and Yellow,Wiz Khalifa,,1
131,2011,32,Tonight Tonight,Hot Chelle Rae,,1
132,2011,33,Blow,Kesha,,1
133,2011,34,Lighters,Bad Meets Evil,Bruno Mars,1
134,2011,35,If I Die Young,The Band Perry,,1
135,2011,36,Stereo Hearts,Gym Class Heroes,Adam Levine,1
136,2011,37,The Time (Dirty Bit),The Black Eyed Peas,,1
137,2011,38,Coming Home,Diddy – Dirty Money,Skylar Grey,1
138,2011,39,Hey Baby (Drop It to the Floor),Pitbull,T-Pain,1
139,2011,40,Only Girl (In the World),Rihanna,,1
140,2011,41,6 Foot 7 Foot,Lil Wayne,Cory Gunz,1
141,2011,42,Just a Kiss,Lady Antebellum,,1
142,2011,43,Dirt Road Anthem,Jason Aldean,,1
143,2011,44,Dynamite,Taio Cruz,,1
144,2011,45,No Hands,Waka Flocka Flame,Wale & Roscoe Dash,1
145,2011,46,I Wanna Go,Britney Spears,,1
146,2011,47,I'm on One,DJ Khaled,Drake & Rick Ross & Lil Wayne,1
147,2011,48,You Make Me Feel...,Cobra Starship,Sabi,1
148,2011,49,Yeah 3x,Chris Brown,,1
149,2011,50,Moment 4 Life,Nicki Minaj,Drake,1
150,2011,51,I Need a Doctor,Dr. Dre,Eminem & Skylar Grey,1
151,2011,52,Just a Dream,Nelly,,1
152,2011,53,Motivation,Kelly Rowland,Lil Wayne,1
153,2011,54,Stereo Love,Edward Maya,Vika Jigulina,1
154,2011,55,Jar of Hearts,Christina Perri,,1
155,2011,56,Roll Up,Wiz Khalifa,,1
156,2011,57,Sexy and I Know It,LMFAO,,1
157,2011,58,Rocketeer,Far East Movement,Ryan Tedder,1
158,2011,59,All of the Lights,Kanye West,,1
159,2011,60,Hold It Against Me,Britney Spears,,1
160,2011,61,More,Usher,,1
161,2011,62,What the Hell,Avril Lavigne,,1
162,2011,63,Written in the Stars,Tinie Tempah,Eric Turner,1
163,2011,64,Bottoms Up,Trey Songz,Nicki Minaj,1
164,2011,65,DJ Got Us Fallin' in Love,Usher,Pitbull,1
165,2011,66,For the First Time,The Script,,1
166,2011,67,Honey Bee,Blake Shelton,,1
167,2011,68,Don't You Wanna Stay,Jason Aldean,Kelly Clarkson,1
168,2011,69,We Found Love,Rihanna,Calvin Harris,1
169,2011,70,Pretty Girl Rock,Keri Hilson,,1
170,2011,71,Yoü and I,Lady Gaga,,1
171,2011,72,Like a G6,Far East Movement,The Cataracs & Dev,1
172,2011,73,Without You,David Guetta,Usher,1
173,2011,74,Back to December,Taylor Swift,,1
174,2011,75,Teenage Dream,Katy Perry,,1
175,2011,76,Crazy Girl,Eli Young Band,,1
176,2011,77,Cheers (Drink to That),Rihanna,,1
177,2011,78,Who Says,Selena Gomez & the Scene,,1
178,2011,79,Barefoot Blue Jean Night,Jake Owen,,1
179,2011,80,Knee Deep,Zac Brown Band,Jimmy Buffett,1
180,2011,81,Country Girl (Shake It for Me),Luke Bryan,,1
181,2011,82,Remind Me,Brad Paisley & Carrie Underwood,,1
182,2011,83,In the Dark,Dev,,1
183,2011,84,Backseat,New Boyz,The Cataracs & Dev,1
184,2011,85,Headlines,Drake,,1
185,2011,86,Best Thing I Never Had,Beyoncé,,1
186,2011,87,Don't Wanna Go Home,Jason Derulo,,1
187,2011,88,Where Them Girls At,David Guetta,Flo Rida & Nicki Minaj,1
188,2011,89,She Ain't You,Chris Brown,,1
189,2011,90,Take a Back Road,Rodney Atkins,,1
190,2011,91,Please Don't Go,Mike Posner,,1
191,2011,92,Sure Thing,Miguel,,1
192,2011,93,Price Tag,Jessie J,B.o.B,1
193,2011,94,God Gave Me You,Blake Shelton,,1
194,2011,95,She Will,Lil Wayne,Drake,1
