kag_master_name,kag_master_artist,kag_master_genre,kag_master_daneceability,kag_master_energy,kag_master_key,kag_master_loudness,kag_master_mode,kag_master_speechiness,kag_master_acousticness,kag_master_instrumentalness,kag_master_liveness,kag_master_valence,kag_master_tempo,kag_master_pop,kag_master_spotify_id,kag_master_release_date,kag_master_year
Elastic Heart,Sia,pop,0.421,0.791,9.0,-4.998,1.0,0.0496,0.0117,1.48e-05,0.146,0.499,130.075,1,5S9lfZu1YF8xKkgSsqL2Bd,2015-05-04,2015
Story of My Life,One Direction,pop,0.6,0.663,3.0,-5.802,1.0,0.0477,0.225,0.0,0.119,0.286,121.07,1,4nVBt6MZDDP6tRVdQTgxJg,2013-11-25,2013
Little Do You Know,Alex & Sierra,pop,0.5,0.292,0.0,-8.554,1.0,0.0323,0.746,0.0,0.188,0.37,145.879,1,1almCHdsfikRPfVB9VrEdT,2014-10-06,2014
Money On My Mind,Sam Smith,pop,0.688,0.841,2.0,-5.217,1.0,0.179,0.204,0.000295,0.229,0.743,133.912,1,5XX9oGZfgKMXdHnEp4t2JB,2014-05-26,2014
Uptown Funk (feat. Bruno Mars),Mark Ronson,pop,0.856,0.609,0.0,-7.223,1.0,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,1,32OlwWuMpZ6b0aN2RZOeMS,2015-01-12,2015
Thinking out Loud,Ed Sheeran,pop,0.781,0.445,2.0,-6.061,1.0,0.0295,0.474,0.0,0.184,0.591,78.998,1,1Slwb6dOYkBlWal1PGtnNg,2013,2013
What Do You Mean?,Justin Bieber,pop,0.845,0.567,5.0,-8.118,0.0,0.0956,0.59,0.00142,0.0811,0.793,125.02,1,4B0JvthVoAAuygILe3n4Bs,2015-11-13,2015
You Know You Like It,DJ Snake,"hip hop, pop, Dance/Electronic",0.407,0.725,5.0,-5.346,0.0,0.188,0.0141,2.46e-06,0.306,0.247,196.093,1,57kR5SniQIbsbVoIjjOUDa,2014-10-14,2014
Ghost Town,Adam Lambert,pop,0.703,0.736,4.0,-5.709,0.0,0.046,0.186,1.92e-05,0.174,0.274,119.955,1,44aN5xKL3kGHvQ5bXVk6B8,2015-06-12,2015
Na Na,Trey Songz,"hip hop, pop, R&B",0.67,0.476,9.0,-6.253,0.0,0.0406,0.328,0.0,0.104,0.235,96.975,1,5maiP9UMnTSgoxPX8X3bdz,2014-07-01,2014
Worth It (feat. Kid Ink),Fifth Harmony,pop,0.884,0.765,8.0,-3.865,1.0,0.0882,0.063,7.04e-06,0.118,0.594,99.987,1,41Fflg7qHiVOD6dEPvsCzO,2015-01-30,2015
Like I Can,Sam Smith,pop,0.656,0.627,7.0,-6.627,0.0,0.0379,0.343,2.17e-05,0.124,0.481,99.933,1,2TeLIzFBe3hxkPR5FIQZut,2014-05-26,2014
Drag Me Down,One Direction,pop,0.73,0.703,0.0,-5.672,0.0,0.0369,0.109,0.0,0.0657,0.595,138.113,1,2K87XMYnUMqLcX3zvtAF4G,2015-11-13,2015
Confident,Demi Lovato,pop,0.594,0.749,3.0,-6.251,1.0,0.0677,0.00188,0.000139,0.0869,0.344,130.064,1,3DXXKDbbZKyAZfNb96ST3q,2015-01-01,2015
Same Old Love,Selena Gomez,pop,0.672,0.593,11.0,-4.01,0.0,0.0304,0.0223,0.0,0.214,0.438,98.02,1,1BZG99C7Co1r6QUC3zaS59,2015-10-09,2015
Talking Body,Tove Lo,"pop, Dance/Electronic",0.736,0.761,4.0,-5.449,0.0,0.0338,0.0966,0.0,0.0823,0.114,119.999,1,2tpfxAXiI52znho4WE3XFA,2014-09-24,2014
High By The Beach,Lana Del Rey,pop,0.536,0.486,11.0,-11.067,0.0,0.0346,0.244,0.00788,0.12,0.0968,131.988,1,7g3htkaLz4ETFn0cifwM3y,2015-09-18,2015
Kill Em With Kindness,Selena Gomez,pop,0.757,0.884,10.0,-5.488,0.0,0.0404,0.00795,5.87e-05,0.0973,0.398,120.012,1,1QNoKVgA758HFLu3TW2q7R,2015-10-09,2015
Let It All Go,Birdy,pop,0.383,0.43,10.0,-8.644,1.0,0.0302,0.817,1.04e-06,0.0869,0.174,107.005,1,5MzXUNfn8AAcz4Z6j2KgTK,2015-09-18,2015
Love Me Harder,Ariana Grande,pop,0.472,0.714,1.0,-4.389,0.0,0.0334,0.00937,0.0,0.0764,0.24,98.992,1,5J4ZkQpzMUFojo1CtAZYpn,2014-08-22,2014
Style,Taylor Swift,pop,0.588,0.791,7.0,-5.595,1.0,0.0402,0.00245,0.00258,0.118,0.487,94.933,1,4lIxdJw6W3Fg4vUIYCB0S5,2014-10-27,2014
The Heart Wants What It Wants,Selena Gomez,pop,0.616,0.789,7.0,-4.874,0.0,0.0377,0.053,0.0,0.142,0.621,83.066,1,6wJwkMo278iWVlWl1XQ4WA,2014-01-01,2014
Sorry,Justin Bieber,pop,0.654,0.76,0.0,-3.669,0.0,0.045,0.0797,0.0,0.299,0.41,99.945,1,09CtPGIpYB4BrO8qb1RGsF,2015-11-13,2015
Perfect,One Direction,pop,0.647,0.823,2.0,-5.231,1.0,0.0762,0.0598,0.0,0.119,0.396,99.933,1,3NLnwwAQbbFKcEcV8hDItk,2015-11-13,2015
Lips Are Movin,Meghan Trainor,pop,0.775,0.825,7.0,-5.402,1.0,0.0464,0.0506,1.03e-06,0.111,0.95,139.091,1,3fNaQSMgFrYTkTshRX7J1u,2015-01-09,2015
Love Yourself,Justin Bieber,pop,0.609,0.378,4.0,-9.828,1.0,0.438,0.835,0.0,0.28,0.515,100.418,1,50kpGaPAhYJ3sGmk6vplg0,2015-11-13,2015
I Know What You Did Last Summer,Shawn Mendes,pop,0.687,0.761,9.0,-4.582,0.0,0.0876,0.102,0.0,0.147,0.743,113.939,1,2GyA33q5rti5IxkMQemRDH,2015-04-14,2015
My House,Flo Rida,"hip hop, pop",0.688,0.702,7.0,-4.792,0.0,0.0499,0.0215,0.0,0.128,0.74,94.006,1,6Knv6wdA0luoMUuuoYi2i1,2015-04-07,2015
Renegades,X Ambassadors,"hip hop, rock, pop",0.526,0.862,2.0,-6.003,1.0,0.0905,0.0144,0.0597,0.229,0.528,90.052,1,0fYVliAYKHuPmECRs1pbRf,2015-06-30,2015
Don't,Bryson Tiller,"hip hop, pop, R&B",0.765,0.356,11.0,-5.556,0.0,0.195,0.223,0.0,0.0963,0.189,96.991,1,3pXF1nA74528Edde4of9CC,2015-10-02,2015
Shape of You,Ed Sheeran,pop,0.825,0.652,1.0,-3.183,0.0,0.0802,0.581,0.0,0.0931,0.931,95.977,1,7qiZfU4dY1lWllzX7mPBI3,2017-03-03,2017
Too Good At Goodbyes,Sam Smith,pop,0.681,0.372,5.0,-8.237,1.0,0.0432,0.64,0.0,0.169,0.476,91.873,1,1mXVgsBdtIVeCLJnSnmtdV,2017-11-03,2017
Don't Wanna Know (feat. Kendrick Lamar),Maroon 5,pop,0.783,0.61,7.0,-6.124,1.0,0.0696,0.343,0.0,0.0983,0.418,100.047,1,1nueTG77MzNkJTKQ0ZdGzT,2018-06-15,2018
Perfect,Ed Sheeran,pop,0.599,0.448,8.0,-6.312,1.0,0.0232,0.163,0.0,0.106,0.168,95.05,1,0tgVpDi06FyKpA1z0VMD4v,2017-03-03,2017
Look What You Made Me Do,Taylor Swift,pop,0.766,0.709,9.0,-6.471,0.0,0.123,0.204,1.41e-05,0.126,0.506,128.07,1,1P17dC1amhFzptugyAO7Il,2017-11-10,2017
...Ready For It?,Taylor Swift,pop,0.613,0.764,2.0,-6.509,1.0,0.136,0.0527,0.0,0.197,0.417,160.015,1,2yLa0QULdQr0qAIvVwN6B5,2017-11-10,2017
Breathe,Jax Jones,"hip hop, pop, Dance/Electronic",0.722,0.744,11.0,-5.52,0.0,0.0363,0.0234,0.000157,0.143,0.686,125.985,1,4Vbz3osCh6DwHYv5gVv5H2,2019-07-12,2019
Nevermind,Dennis Lloyd,pop,0.6,0.688,5.0,-8.339,0.0,0.201,0.159,1.29e-05,0.409,0.0793,99.977,1,63SevszngYpZOwf63o61K4,2017-06-30,2017
Be Alright,Dean Lewis,pop,0.553,0.586,11.0,-6.319,1.0,0.0362,0.697,0.0,0.0813,0.443,126.684,1,5qrSlOut2rNAWv3ubArkNy,2019-03-22,2019
