kag_master_name,kag_master_artist,kag_master_genre,kag_master_daneceability,kag_master_energy,kag_master_key,kag_master_loudness,kag_master_mode,kag_master_speechiness,kag_master_acousticness,kag_master_instrumentalness,kag_master_liveness,kag_master_valence,kag_master_tempo,kag_master_pop,kag_master_spotify_id,kag_master_release_date,kag_master_year
去信和賣碟,my little airport,cantopop,0.607,0.212,1.0,-14.46,1.0,0.0452,0.919,0.00111,0.106,0.561,131.453,1,5yOcQkHj2jYZtpGM4oxMDr,2012-10-01,2012
Tomorrow,AGA,cantopop,0.522,0.446,9.0,-8.113,1.0,0.0289,0.771,5.16e-06,0.121,0.283,124.308,1,3bCHbOoRbzo4IsCbTeQCQ3,2024-01-18,2024
今日,Eason Chan,cantopop,0.555,0.498,7.0,-7.94,0.0,0.0285,0.16,0.0,0.192,0.187,136.962,1,6cky0d8XS1WF4fS8HnKqgZ,2012-05-22,2012
多喝水,Stephanie Cheng,cantopop,0.531,0.484,6.0,-7.215,1.0,0.0326,0.332,3.06e-06,0.103,0.335,139.944,1,1W7uQESfg4yq6dSJg4tvG3,2021-01-02,2021
How Can You Fall In Love With A Guy Who Doesn’t Know Gainsbourg?,my little airport,cantopop,0.425,0.237,7.0,-11.4,1.0,0.0533,0.785,0.0,0.071,0.543,73.196,1,3yP8mIJzzANXjDBkvgiVhy,2012-10-01,2012
冷雨 - Live at EasON AIR,Eason Chan,cantopop,0.728,0.621,10.0,-8.254,1.0,0.213,0.254,0.000239,0.0404,0.871,165.995,1,6DEICS9TXi95lAnQWhCfmI,2022-09-12,2022
Love Is Not A Romantic Song,my little airport,cantopop,0.592,0.209,7.0,-12.628,1.0,0.0467,0.915,0.0,0.111,0.323,86.513,1,3YqwL6xaDNIV5OUlBmxzPR,2012-10-01,2012
黃色大門,Joey Yung,cantopop,0.71,0.191,3.0,-13.045,1.0,0.0366,0.918,2.78e-05,0.107,0.269,112.049,1,2WkZMfC3eTYciJrhXD7vQb,2013-12-03,2013
"逆著風 - 劇集 ""大步走"" 主題曲",Fred Cheng,cantopop,0.59,0.511,6.0,-6.714,0.0,0.0275,0.26,0.0,0.0862,0.45,118.12,1,1L4ntmBIXfdF6mZSbWhT5D,2021-03-08,2021
Medley - 垃圾 / 絕 / 失樂園 / 大開眼戒 (Hins Live in Passion 張敬軒演唱會 2014),Hins Cheung,cantopop,0.269,0.338,11.0,-12.757,1.0,0.0393,0.703,4.54e-06,0.617,0.341,97.982,1,4c8Le7W7hRoOmQ6PnzB3I1,2014-12-23,2014
doodoodoo,Terence Lam,cantopop,0.647,0.505,0.0,-10.802,1.0,0.0536,0.677,0.0,0.0971,0.502,76.476,1,0bqYvGR4vP2KstdMyemKYI,2022-05-13,2022
難道喜歡處女座,Terence Lam,cantopop,0.838,0.501,11.0,-7.229,1.0,0.0472,0.733,6.44e-06,0.11,0.693,129.969,1,3Culhf5uvEDZQhaK3AhFqn,2021-12-03,2021
"完美的生活 - (劇集 ""愛.回家之八時入席"" 主題曲)",Jinny Ng,cantopop,0.701,0.682,5.0,-7.939,1.0,0.0677,0.28,0.0,0.151,0.669,146.074,1,4U6ZIcGbkFAob5WGI4QU5L,2016-04-01,2016
致明日的舞,Eason Chan,cantopop,0.549,0.618,0.0,-7.961,1.0,0.0309,0.842,0.0,0.113,0.474,111.996,1,4K4giRULEibP61XuMsJJRd,2020-10-20,2020
世界是一列由東向西駛往的火車,新青年理髮廳,cantopop,0.729,0.589,9.0,-6.1,1.0,0.0319,0.769,0.0,0.155,0.478,99.087,1,0031DJ4rGzmgNvQWok9hQ4,2020-06-27,2020
勿念,Yoyo Sham,cantopop,0.512,0.169,3.0,-16.756,1.0,0.0354,0.892,1.3e-06,0.109,0.287,135.854,1,7jo1ash37IUB5NyviV7ajO,2021-10-14,2021
Re:迷惘的人生,my little airport,cantopop,0.567,0.237,7.0,-13.256,1.0,0.0442,0.951,0.0042,0.276,0.441,106.124,1,18uLImLY0HUP35hy50TRim,2012-10-01,2012
Don't Text Him,Serrini,cantopop,0.38,0.265,4.0,-9.173,1.0,0.0544,0.956,1.01e-05,0.35,0.324,207.521,1,3pSWo5ebAl4xiXXqym6rEo,2017-10-04,2017
人類群星閃耀時,Jer 柳應廷,cantopop,0.362,0.785,8.0,-6.05,1.0,0.0465,0.209,0.0,0.111,0.27,76.485,1,6qFQZTBSJWZhGhfLyEpeop,2024-02-16,2024
難得一遇,Phil Lam,cantopop,0.418,0.345,10.0,-9.795,1.0,0.0354,0.767,0.0,0.176,0.215,172.006,1,0gKNqldG2cL6UZGCre4rAj,2017-02-06,2017
等你回來 - (劇集「回到三國」主題曲),Raymond Lam,cantopop,0.5,0.677,3.0,-7.879,0.0,0.0428,0.114,0.0,0.0971,0.552,148.017,1,2RKfIcBIVeh1tKE9kcdUJK,2013-01-25,2013
世界劇團,Jay Fung,cantopop,0.695,0.634,0.0,-8.288,1.0,0.0297,0.53,0.0,0.0964,0.693,109.02,1,4VhlHWOhdRmERGmhqPE0tb,2013-10-25,2013
心有不甘 - 電視劇《皓鑭傳》主題曲,HANA,cantopop,0.511,0.348,0.0,-10.044,1.0,0.0309,0.781,0.0,0.202,0.221,167.865,1,60v0g0l0G815xOTD6jS8rL,2020-12-09,2020
拼命無恙 in Bb major,Terence Lam,cantopop,0.532,0.443,10.0,-9.69,1.0,0.0269,0.674,0.0,0.117,0.19,151.996,1,24tzRRz8r26gOmQB8PEZwv,2020-10-01,2020
說過放下 - 電視劇《錦繡南歌》主題曲,HANA,cantopop,0.591,0.329,11.0,-10.682,0.0,0.0312,0.65,0.0,0.117,0.313,109.955,1,3q5dbqhPz4ALLeyDKaqsE4,2020-12-09,2020
重陽,Tang Siu Hau,cantopop,0.534,0.339,0.0,-10.618,1.0,0.0279,0.904,3.89e-05,0.11,0.315,98.312,1,3AA6t8AXUCdOOwVjcbbEpp,2018-11-19,2018
我的宣言,Pakho Chau,cantopop,0.468,0.433,5.0,-8.039,1.0,0.0245,0.639,0.0,0.131,0.416,84.034,1,2NGGtgT8EzAMbS4zXgLnYJ,2013-08-28,2013
敢愛敢做,George Lam,cantopop,0.734,0.893,5.0,-4.635,1.0,0.0346,0.334,0.0,0.0978,0.707,98.554,1,77zGKkpnopcSsMc4JQHw1s,2016-02-03,2016
零分,JUDE,cantopop,0.557,0.536,4.0,-7.661,1.0,0.0313,0.731,0.0,0.0858,0.391,128.865,1,1HsWdmLSDdDel2Dl6ctSO2,2020-01-13,2020
It’s OK To Be Sad,Janice Vidal,cantopop,0.534,0.535,4.0,-6.925,1.0,0.156,0.707,0.0,0.105,0.427,156.199,1,0up477QX11ffSLneXa0xHA,2021-04-27,2021
呼吸之間,Janice Vidal,cantopop,0.334,0.367,9.0,-10.719,1.0,0.0428,0.929,2.11e-06,0.114,0.344,172.116,1,1eVGIJZMTyms9dpWI70aJi,2022-07-08,2022
星秀傳說,Sammi Cheng,cantopop,0.525,0.954,11.0,-5.411,0.0,0.0968,0.0364,0.0,0.17,0.502,147.518,1,2fEHM7a1RaYBdECg4YzAl5,2016-05-13,2016
失業生,Danny Chan,cantopop,0.51,0.173,3.0,-14.5,1.0,0.038,0.887,0.0719,0.212,0.471,122.12,1,4eMD6wB5MZPf7KuHvYxorz,2013-10-22,2013
主角光環,Kaho Hung,cantopop,0.54,0.407,5.0,-8.741,1.0,0.0295,0.476,0.0,0.094,0.614,127.995,1,3CsYuAe0Oi7t9w1jxWfHob,2022-05-31,2022
你是你本身的傳奇,Charmaine Fong,cantopop,0.663,0.42,10.0,-7.465,1.0,0.0301,0.831,0.0,0.0822,0.427,129.786,1,5uMkdWf1H6JEcpcdnPOSZM,2015-12-16,2015
"始終會行運 - 電視劇""鹿鼎記""主題曲",Leslie Cheung,cantopop,0.63,0.389,7.0,-12.298,0.0,0.0282,0.321,0.00222,0.216,0.503,108.981,1,0Wmwx8Y6hgORJ8fwXYgwSm,2016-09-09,2016
幸福之歌,Supper Moment,cantopop,0.566,0.622,0.0,-6.685,1.0,0.0293,0.292,0.0,0.105,0.397,145.025,1,25atREPmk8jKg0WlI28bsV,2015-05-22,2015
逾越生死,C AllStar,cantopop,0.661,0.398,1.0,-7.923,1.0,0.0319,0.536,0.0,0.115,0.384,82.027,1,6qyIvmBYgPHyS6Yh8Z44Eg,2015-12-02,2015
情人自擾,Hubert Wu,cantopop,0.462,0.408,9.0,-10.38,1.0,0.0504,0.685,0.0,0.102,0.0909,144.04,1,1RSJ0fp64OI40qic5AlXDs,2017-03-09,2017
思念即地獄,Jay Fung,cantopop,0.405,0.413,1.0,-9.66,1.0,0.0662,0.398,0.0,0.1,0.397,71.659,1,7EougyUYWZdE1zCzsCA1Sx,2021-04-20,2021
"傳說 - 劇集 ""十二傳說"" 主題曲",林師傑,cantopop,0.529,0.569,0.0,-8.216,0.0,0.0315,0.167,0.0,0.18,0.311,140.049,1,7pUlyPnfIazElqMI7XL4MN,2019-07-15,2019
靈魂相認,Hins Cheung,cantopop,0.559,0.366,1.0,-9.208,1.0,0.0373,0.835,0.0,0.0689,0.259,111.651,1,2nwGMPelxFGIhJqZeNdp4z,2014-10-16,2014
廣州足浴一夜 - Live,my little airport,cantopop,0.601,0.288,5.0,-18.953,1.0,0.0409,0.68,0.338,0.65,0.421,128.674,1,3mRa5ePXmTImeP2B0KJf49,2020-02-14,2020
下流社會,Panther Chan,cantopop,0.645,0.886,2.0,-5.21,0.0,0.102,0.164,0.0,0.0822,0.59,91.988,1,45JqPoSj6U0qOCPvgdsMmb,2024-04-16,2024
及時行樂,Kaho Hung,cantopop,0.463,0.57,6.0,-6.339,1.0,0.0283,0.233,0.0,0.133,0.276,143.989,1,4co81zh3xm4y6ZcyLj4eTz,2022-05-31,2022
今天的我,HANA,cantopop,0.443,0.651,6.0,-5.397,1.0,0.219,0.335,0.0,0.0797,0.418,175.651,1,296cG2GzQ60ZTeuQuXnRYq,2017-11-03,2017
你有自己一套 - Live at EasON AIR,Eason Chan,cantopop,0.658,0.541,5.0,-10.202,1.0,0.04,0.613,0.000629,0.263,0.182,101.984,1,1IsOENKtdg76Z8xClXcNNs,2022-09-12,2022
"日月存亡 - 劇集 ""如懿傳"" 主題曲",Jinny Ng,cantopop,0.672,0.45,4.0,-6.361,0.0,0.0322,0.588,0.0,0.107,0.4,115.886,1,2bZ53W1c9AdlFsovWn1TR6,2019-02-05,2019
Feel The Bass,JW,cantopop,0.72,0.906,1.0,-7.319,1.0,0.0928,0.00648,0.000121,0.347,0.669,130.001,1,56htcPzeEr0wdHHxs6H9Y5,2013-09-29,2013
"美好的時光 - (劇集 ""衝線"" 主題曲)",Jinny Ng,cantopop,0.545,0.606,10.0,-7.457,1.0,0.0279,0.149,0.0,0.156,0.257,151.732,1,3UctqeQzMdST9q3LY3sHpQ,2016-01-21,2016
下一束光,吳林峰,cantopop,0.615,0.21,11.0,-13.077,0.0,0.0481,0.906,0.0,0.124,0.265,131.569,1,5VUVf5tMTfL8UwdOmiRxqJ,2019-08-12,2019
Long D,Jace Chan,cantopop,0.72,0.492,10.0,-8.977,1.0,0.144,0.734,1.92e-06,0.137,0.377,143.038,1,3tzjn5ILVuHc4eSLTH60lY,2022-04-08,2022
時光倒流二十年,Eason Chan,cantopop,0.434,0.27,8.0,-10.16,1.0,0.0303,0.673,0.0,0.103,0.319,139.951,1,7DB4HlfrhRz66lLE1ZNUt2,2013-05-22,2013
在生,per se,cantopop,0.48,0.883,11.0,-4.555,1.0,0.061,0.0417,1.04e-06,0.288,0.573,163.319,1,4jMQw1wdlhRXgJBXAIPsb4,2022-09-06,2022
初戀,Mike 曾比特,cantopop,0.706,0.802,9.0,-4.984,0.0,0.0308,0.0196,0.0011,0.171,0.324,127.967,1,5XihvL3MlNcj6yPwAKsgFw,2022-05-18,2022
五點鐘去天光墟 - Live,my little airport,cantopop,0.438,0.406,9.0,-14.046,1.0,0.0698,0.226,0.0157,0.669,0.297,73.85,1,5jLNwICFVqW4hqkXqPhuRN,2020-02-14,2020
綠島小夜曲 - 修復版,林淑容,cantopop,0.229,0.433,0.0,-6.772,1.0,0.0311,0.711,2.11e-05,0.277,0.16,144.062,1,3FRXX5pP44435f0jIxyFbh,2015-09-10,2015
囚鳥 - Remastered,Cass Phang,cantopop,0.481,0.369,1.0,-8.451,1.0,0.0317,0.712,0.0,0.108,0.219,103.986,1,7CXIxU4GflzqTiaRNfS6LY,2015-04-30,2015
春夏秋冬 A Balloon's Journey,Leslie Cheung,cantopop,0.586,0.33,1.0,-9.607,1.0,0.0389,0.933,8.66e-05,0.111,0.471,136.057,1,4VWE88XtRQXmOH0JPzwN5T,2020-10-16,2020
心事,Sammi Cheng,cantopop,0.462,0.534,8.0,-6.471,1.0,0.0327,0.722,0.0,0.114,0.328,135.967,1,3jaRKTUi22kx8uonCrdIxn,2016-05-13,2016
百年樹木,Hins Cheung,cantopop,0.467,0.349,0.0,-7.96,1.0,0.0339,0.572,0.0,0.204,0.343,140.212,1,5ql4tlxS3GtADNsSRi2GnW,2018-12-21,2018
哲學家,Candy Lo,cantopop,0.55,0.373,2.0,-9.006,1.0,0.0306,0.822,0.000589,0.112,0.471,131.947,1,1wdPW3bn0ysQVdRhWET6XL,2015-05-27,2015
"幼稚完 - (劇集 ""雷霆掃毒"" 片尾曲)",Raymond Lam,cantopop,0.491,0.484,6.0,-7.888,1.0,0.0254,0.682,0.0,0.143,0.275,78.035,1,5b6PaNTGe3Iv2gg2RMy2Ms,2012-09-24,2012
離別的規矩,Jer 柳應廷,cantopop,0.341,0.417,5.0,-6.99,1.0,0.0286,0.794,0.0,0.154,0.468,138.875,1,5tHHZJbJgs6zQmvqewePEf,2022-04-20,2022
缺氧,Jill Vidal,cantopop,0.707,0.429,1.0,-7.716,1.0,0.0329,0.355,0.0,0.062,0.591,139.966,1,1cXRIBsLi3bdf68PYku6mo,2017-11-27,2017
哀的美敦書,Dear Jane,cantopop,0.545,0.689,10.0,-4.721,1.0,0.0351,0.386,0.0,0.0945,0.358,139.995,1,2mh20y35EhzqMy6su3sJJA,2020-12-03,2020
鯨落,陳卓賢 Ian,cantopop,0.598,0.48,5.0,-8.073,1.0,0.0324,0.713,0.0,0.134,0.382,122.875,1,1rTnGbIahUmq6fK8RWAXfd,2020-07-29,2020
自毀的程序,Jer 柳應廷,cantopop,0.432,0.552,0.0,-6.245,1.0,0.0313,0.468,0.0,0.157,0.43,135.033,1,4r9vBgC5aXJ8VxK4611rnc,2024-02-16,2024
到此為止,Dear Jane,cantopop,0.408,0.827,2.0,-3.356,1.0,0.0363,0.00736,0.0,0.226,0.295,130.256,1,5k6GO6sQFmBPz0huGhsv82,2019-03-21,2019
Children Song,Endy Chow,cantopop,0.462,0.554,11.0,-5.922,1.0,0.029,0.312,0.000447,0.105,0.48,158.057,1,5CamFNiR231zWyRQDDIRRr,2016-12-23,2016
Little Fires Everywhere,Vincy Chan,cantopop,0.507,0.52,7.0,-7.115,1.0,0.0322,0.615,0.0,0.103,0.588,131.076,1,5uWahe0l5I1UCAjQbBKeo3,2022-10-10,2022
秋風吹謝了春紅 - 修復版,麗莎,cantopop,0.575,0.592,8.0,-3.949,1.0,0.0245,0.0437,0.0,0.507,0.565,104.43,1,20ZQCaAHxrJQSL8YPynFry,2015-09-02,2015
"小木偶的話 - (劇集 ""愛回家"" 插曲)",林師傑,cantopop,0.648,0.291,0.0,-9.373,1.0,0.0348,0.642,0.0,0.0986,0.338,72.059,1,4a42QB7kyZ6pzlvrB0ylHH,2014-11-23,2014
真我的風采,Andy Lau,cantopop,0.601,0.308,4.0,-16.537,1.0,0.0312,0.377,3.28e-05,0.179,0.394,106.064,1,0pmGI6aL5sr8Twi0WmliRs,2014-07-01,2014
一觸即發 - 劇集 “同盟” 主題曲,Ruco Chan,cantopop,0.637,0.873,8.0,-6.117,1.0,0.126,0.0108,0.0,0.0432,0.705,97.987,1,2m2EBMKluxKM7Asi6hoQI8,2017-08-07,2017
無人像你,Charmaine Fong,cantopop,0.614,0.359,9.0,-8.916,1.0,0.0325,0.863,0.0,0.115,0.381,136.037,1,0ZgMBZeFQC8Jja48NuDaSC,2015-12-16,2015
先哭為敬,Joyce Cheng,cantopop,0.488,0.702,4.0,-5.688,1.0,0.0434,0.118,0.0,0.195,0.305,145.962,1,7oVLiGq3yyLnGzlKvhgd3t,2021-12-28,2021
女神,Joyce Cheng,cantopop,0.634,0.426,5.0,-5.653,1.0,0.0345,0.839,0.0,0.0912,0.282,81.935,1,47MN8iVKji2TUL2DOnXpgJ,2016-05-20,2016
怎麼你不找我,Kayee Tam,cantopop,0.668,0.625,5.0,-4.862,1.0,0.0415,0.683,0.0,0.116,0.327,133.856,1,5V0R9glmXZwExgsunBJYA9,2019-12-19,2019
巴士光年,吳林峰,cantopop,0.52,0.537,6.0,-8.317,1.0,0.203,0.783,0.0,0.0993,0.46,141.748,1,0ub1bABgM7pZkqermYUrNp,2020-06-22,2020
幸福摩天輪,Eason Chan,cantopop,0.656,0.342,0.0,-8.319,1.0,0.0279,0.252,0.0,0.0721,0.368,91.996,1,0AJi3XCcEEboePVz60fbki,2013-05-22,2013
風的形狀,Yoyo Sham,cantopop,0.313,0.28,0.0,-14.236,1.0,0.0362,0.948,0.00595,0.0605,0.254,153.02,1,7iQdInUqIpVdatCooLZC3A,2021-07-22,2021
月映之審判者,my little airport,cantopop,0.353,0.579,7.0,-10.482,1.0,0.039,0.0704,0.36,0.112,0.713,160.467,1,2eLFge0GG6xF83VUXcRbbz,2014-01-01,2014
共同望銀河那時,C AllStar,cantopop,0.676,0.552,11.0,-7.934,1.0,0.0492,0.425,0.0,0.0786,0.782,139.97,1,1rHiqKONu3tM7TbcGxZSrY,2021-11-26,2021
山旮旯,Jay Fung,cantopop,0.554,0.486,3.0,-7.034,1.0,0.0319,0.794,0.0,0.118,0.231,140.005,1,6vLeClPziJQ3Z0wifEzMYe,2019-05-22,2019
脫骹的華爾茲,Dear Jane,cantopop,0.282,0.879,0.0,-4.13,1.0,0.0538,0.00238,0.0,0.216,0.533,110.194,1,4WTYVLWBWTDfAgb4S4AXLh,2022-04-13,2022
上弦月,Andy Hui,cantopop,0.68,0.312,5.0,-10.804,1.0,0.0294,0.816,0.0,0.082,0.298,111.219,1,7xrlFecpSktInV6tvp7jZC,2020-06-12,2020
你喜歡說謊 - 電視劇《黃金有罪》片尾曲,HANA,cantopop,0.592,0.37,2.0,-9.794,1.0,0.0334,0.728,0.0,0.113,0.362,143.982,1,3A0lQ12266eejtQNlobPpD,2020-12-09,2020
眼淚的堅強 (ViuTV原創劇《熟女強人》主題曲),Vivian Chow,cantopop,0.405,0.459,8.0,-9.123,1.0,0.0734,0.74,5.02e-05,0.257,0.371,72.98,1,6zIakg39kRroF7xqgZNgx7,2020-09-21,2020
連續劇,Joey Yung,cantopop,0.37,0.466,1.0,-9.927,0.0,0.0437,0.691,0.0,0.229,0.198,148.149,1,6RVBDN9xXQ6rl4S0woH33O,2013-12-03,2013
聽風 in D major,Terence Lam,cantopop,0.305,0.129,2.0,-16.701,1.0,0.0319,0.916,0.000452,0.0858,0.394,160.66,1,6nfEYJH79mSjxsaesFBY64,2020-10-01,2020
"默默向上游 - 電影""鼓手""主題曲",Leslie Cheung,cantopop,0.574,0.234,9.0,-14.306,1.0,0.0266,0.618,5.04e-05,0.292,0.229,79.461,1,7EIAJ0rBso2akQn2z4TgZx,2016-09-09,2016
golden hour,JVKE,indie-pop,0.515,0.593,4.0,-4.801,1.0,0.0322,0.653,0.162,0.25,0.153,94.467,1,5odlY52u43F5BjByhxg7wg,2022-09-23,2022
Heat Waves,Glass Animals,indie-pop,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,1,3USxtqRwSYz57Ewm6wWRMp,2020-08-07,2020
Still Don't Know My Name,Labrinth,indie-pop,0.316,0.63,5.0,-5.963,1.0,0.117,0.471,0.262,0.205,0.313,89.643,1,6N22FZs2ZhPBYi3b9XPajV,2019-10-04,2019
Formula,Labrinth,indie-pop,0.574,0.664,11.0,-6.068,1.0,0.0409,0.0448,0.0553,0.146,0.226,144.654,1,6EtKlIQmGPB9SX8UjDJG5s,2019-10-04,2019
Without Me,Halsey,indie-pop,0.752,0.488,6.0,-7.05,1.0,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,1,6FZDfxM3a3UCqtzo5pxSLZ,2020-01-17,2020
Cradles,Sub Urban,indie-pop,0.537,0.586,6.0,-1.864,1.0,0.314,0.265,7.04e-05,0.175,0.624,79.056,1,5sSYvDVyP0CP9TUiqy3fuF,2019-01-04,2019
Heat Waves - Slowed,Glass Animals,indie-pop,0.633,0.55,9.0,-9.965,1.0,0.0924,0.649,0.000363,0.147,0.333,147.099,1,1K2RnVhm3eauKnA8PAcPu1,2021-03-21,2021
Beggin',Måneskin,indie-pop,0.714,0.8,11.0,-4.808,0.0,0.0504,0.127,0.0,0.359,0.589,134.002,1,3Wrjm47oTz2sjIgck11l5e,2017-12-08,2017
Sofia,Clairo,indie-pop,0.744,0.619,0.0,-9.805,1.0,0.039,0.598,0.00372,0.231,0.641,112.997,1,7B3z0ySL9Rr0XvZEAjWZzM,2019-08-02,2019
Freaks,Surf Curse,indie-pop,0.345,0.941,9.0,-9.918,1.0,0.0466,3.84e-05,0.633,0.0511,0.407,179.626,1,7EkWXAI1wn8Ii883ecd9xr,2021-05-15,2021
Go Fuck Yourself,Two Feet,indie-pop,0.765,0.327,6.0,-8.029,1.0,0.277,0.571,0.0479,0.0787,0.292,74.931,1,4NZrZgrRoR4GwR7flWOXRI,2016-07-29,2016
Mount Everest,Labrinth,indie-pop,0.494,0.428,0.0,-7.239,0.0,0.205,0.236,0.0698,0.0816,0.44,87.724,1,1ZdhOMWyFR8Iv9eylMGYg2,2019-11-22,2019
Cool Kids,Echosmith,indie-pop,0.719,0.671,8.0,-6.279,1.0,0.0336,0.0372,8.21e-06,0.12,0.786,130.027,1,13P5rwmk2EsoFRIz9UCeh9,2013-10-04,2013
I WANNA BE YOUR SLAVE,Måneskin,indie-pop,0.75,0.608,1.0,-4.008,1.0,0.0387,0.00165,0.0,0.178,0.958,132.507,1,4pt5fDVTg5GhEvEtlz9dKk,2021-03-19,2021
Mad at Disney,salem ilese,indie-pop,0.738,0.621,0.0,-7.313,1.0,0.0486,0.424,7.39e-06,0.692,0.715,113.968,1,0PlzctO0nv2sSIFmqDSE6h,2022-10-07,2022
Hate Me,Ellie Goulding;Juice WRLD,indie-pop,0.658,0.791,8.0,-4.66,1.0,0.0512,0.102,0.0,0.139,0.744,75.017,1,15og0pCEcTFWEXOFKdcJlU,2020-07-16,2020
Close To Me,Ellie Goulding;Diplo;Swae Lee,indie-pop,0.572,0.75,1.0,-5.042,0.0,0.0604,0.0946,0.0,0.378,0.475,144.081,1,2GjMaJ7DacMIkgoe8oMXGg,2020-07-17,2020
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,indie-pop,0.271,0.648,8.0,-5.664,1.0,0.051,0.248,0.0,0.121,0.261,189.218,1,3zHq9ouUJQFQRf3cm1rRLu,2015-11-06,2015
we fell in love in october,girl in red,indie-pop,0.566,0.366,7.0,-12.808,1.0,0.028,0.113,0.181,0.155,0.237,129.96,1,6IPwKM3fUUzlElbvKw2sKl,2018-11-21,2018
Remember That Night?,Sara Kays,indie-pop,0.679,0.61,7.0,-10.936,0.0,0.0305,0.585,9.51e-05,0.156,0.554,123.978,1,1nYzjrdVQ8RpF93M0jPFW7,2020-11-06,2020
Zakir,NAALAYAK,indie-pop,0.613,0.508,7.0,-8.489,1.0,0.0343,0.275,8.28e-06,0.0809,0.327,144.106,1,1ZGLauVoD74BU8y8O5btcO,2021-10-29,2021
Cloud 9,Beach Bunny,indie-pop,0.637,0.929,4.0,-3.593,1.0,0.0491,0.00167,2.62e-05,0.344,0.902,80.974,1,3ZgkHyoKfNMcHTXC0X1qQj,2020-02-14,2020
Line Without a Hook,Ricky Montgomery,indie-pop,0.432,0.652,8.0,-4.969,1.0,0.0285,0.262,0.0,0.258,0.507,190.028,1,5NvOZCjZaGGGL597exlQWv,2016-04-08,2016
Let's Nacho,Nucleya;Benny Dayal;Badshah,indie-pop,0.742,0.947,0.0,-3.749,1.0,0.0321,0.0906,0.0221,0.0721,0.88,130.043,1,4mQpBIJKBpd8lcrtZ73SP8,2016-03-04,2016
INFERNO,Sub Urban;Bella Poarch,indie-pop,0.82,0.611,9.0,-5.02,0.0,0.122,0.0766,2.5e-05,0.0684,0.637,127.883,1,6e2YNCn1sP5eqnUe17vtxv,2022-06-03,2022
Prom Queen,Beach Bunny,indie-pop,0.528,0.797,4.0,-7.487,1.0,0.0485,0.000391,0.011,0.14,0.751,143.785,1,6GJdFTOm23lC5bqjYSMJTj,2018-08-10,2018
Best Day Of My Life,American Authors,indie-pop,0.673,0.902,2.0,-2.392,1.0,0.0346,0.0591,0.000262,0.0558,0.538,100.012,1,5Hroj5K7vLpIG4FNCRIjbP,2014-01-01,2014
Fall in Love with a Girl,Cavetown;beabadoobee,indie-pop,0.686,0.511,10.0,-7.782,1.0,0.0284,0.133,6.3e-05,0.102,0.39,107.067,1,0rH1Y0mcALJgAq8EKF2Zwt,2022-02-25,2022
Grocery Store,Cavetown,indie-pop,0.577,0.555,8.0,-8.228,1.0,0.0352,0.583,6.59e-05,0.105,0.437,132.336,1,5eGIOMy0V0r7neaaPve2kB,2022-07-15,2022
Teenage Dirtbag,Cavetown;chloe moriondo,indie-pop,0.367,0.373,8.0,-9.296,1.0,0.0361,0.61,0.0,0.135,0.476,94.182,1,5goZCkRmpk5tWTX3Af6XRL,2021-10-22,2021
Put Your Records On,Ritt Momney,indie-pop,0.399,0.491,6.0,-10.778,0.0,0.0538,0.0563,0.00089,0.11,0.151,91.066,1,6AGOKlMZWLCaEJGnaROtF9,2020-04-24,2020
KTMBK,Zaeden;Hanita Bhambri,indie-pop,0.898,0.435,6.0,-8.834,1.0,0.0489,0.555,0.0,0.139,0.836,115.034,1,4R8VBRb5nKbEfi1EIA2B7p,2021-07-02,2021
When I R.I.P.,Labrinth,indie-pop,0.417,0.551,8.0,-6.456,0.0,0.174,0.73,0.00166,0.0907,0.444,87.614,1,2t16D9V5FmmRAJjsSpwvZf,2019-10-04,2019
this is what falling in love feels like,JVKE,indie-pop,0.422,0.44,11.0,-5.53,1.0,0.0544,0.617,0.0,0.0837,0.332,128.934,1,2PWTZV5znjLtZC5T1EVJvL,2022-09-23,2022
I Feel Like I'm Drowning,Two Feet,indie-pop,0.717,0.577,8.0,-5.436,1.0,0.0491,0.708,0.00428,0.0899,0.235,104.927,1,3aauaXWRgwCMoykMbI0Jq1,2018-10-05,2018
THE LONELIEST,Måneskin,indie-pop,0.519,0.595,2.0,-5.001,1.0,0.0283,0.00151,0.0,0.0762,0.237,129.786,1,7exHT4swWOKL5addPeqkLP,2023-01-20,2023
could you love me while i hate myself,Zeph,indie-pop,0.68,0.406,9.0,-11.313,1.0,0.0414,0.782,0.00019,0.11,0.551,119.901,1,7uo2L5FAja3pWIBa3HJVeC,2021-10-15,2021
Hotel,Claire Rosinkranz,indie-pop,0.856,0.656,5.0,-6.475,1.0,0.0752,0.484,0.0,0.559,0.949,133.927,1,3xyr2xfbSZiZWWGsjLyMFh,2021-07-09,2021
Beyond My Dreams,Sunwoojunga,indie-pop,0.519,0.352,7.0,-8.332,1.0,0.0244,0.762,0.0,0.113,0.269,78.943,1,5NVkktUlAylhk7f0t63eth,2022-06-30,2022
Virtual Aerobics,Wallows,indie-pop,0.775,0.55,9.0,-3.765,1.0,0.0345,0.183,0.0,0.0434,0.72,109.952,1,2ph2geNwNtdvIkA1Nvpybp,2020-10-23,2020
